Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Jiang L., Yu X., Ma X., Liu H., Zhou S., Zhou X., Meng Q., Wang L., Jiang W.",36016646400;55578266500;57204723203;57201487964;57190972660;57207144670;57201479359;57189371305;56819409500;,Identification of transcription factor-miRNA-lncRNA feed-forward loops in breast cancer subtypes,2019,Computational Biology and Chemistry,7,10.1016/j.compbiolchem.2018.11.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056807212&doi=10.1016%2fj.compbiolchem.2018.11.008&partnerID=40&md5=876f0ba9140eab0a27cb3023192b44e2,Article,Final,0,Scopus,2-s2.0-85056807212
"Koemans W.J., Chalabi M., van Sandick J.W., van Dieren J.M., Kodach L.L.",57204672154;57203976515;7003562106;56618723700;12776453600;,Beyond the PD-L1 horizon: In search for a good biomarker to predict success of immunotherapy in gastric and esophageal adenocarcinoma,2019,Cancer Letters,10,10.1016/j.canlet.2018.11.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056646923&doi=10.1016%2fj.canlet.2018.11.001&partnerID=40&md5=18a587a3b54aeedbb1693dd2fece0e36,Short Survey,Final,0,Scopus,2-s2.0-85056646923
"Long L., Pang X.-X., Lei F., Zhang J.-S., Wang W., Liao L.-D., Xu X.-E., He J.-Z., Wu J.-Y., Wu Z.-Y., Wang L.-D., Lin D.-C., Li E.-M., Xu L.-Y.",56024115700;52364698900;55639636900;57200615157;56948676400;16230573300;35766003500;57189234208;7409251798;55732781600;12242861000;17135073900;7201410160;7404744339;,SLC52A3 expression is activated by NF-κB p65/Rel-B and serves as a prognostic biomarker in esophageal cancer,2018,Cellular and Molecular Life Sciences,19,10.1007/s00018-018-2757-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041911876&doi=10.1007%2fs00018-018-2757-4&partnerID=40&md5=5cc1e1bdb454b4c37a788008c5f2eaf9,Article,Final,1,Scopus,2-s2.0-85041911876
"Wang W., Li Z., Wang J., Du M., Li B., Zhang L., Li Q., Xu J., Wang L., Li F., Zhang D., Xu H., Yang L., Gong W., Qiang F., Zhang Z., Xu Z.",57215072509;56982273100;56830521900;55620536000;57056722000;57208268043;57208660890;56404771500;55981039100;57200177206;57190373126;55652187100;57188741558;8868454200;36101662200;55608623600;7405428731;,A functional polymorphism in TFF1 promoter is associated with the risk and prognosis of gastric cancer,2018,International Journal of Cancer,8,10.1002/ijc.31197,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042923871&doi=10.1002%2fijc.31197&partnerID=40&md5=51ab88052f980be60b9bd1fe6c36708d,Article,Final,1,Scopus,2-s2.0-85042923871
"Liu J., Liu F., Shi Y., Tan H., Zhou L.",57191727596;57215556866;55259682300;12783394700;56091048700;,Identification of key miRNAs and genes associated with stomach adenocarcinoma from The Cancer Genome Atlas database,2018,FEBS Open Bio,7,10.1002/2211-5463.12365,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039764400&doi=10.1002%2f2211-5463.12365&partnerID=40&md5=1c05c4d364d668120aafa8a1606446d3,Article,Final,1,Scopus,2-s2.0-85039764400
"Choi W.H., Lee S., Cho S.",56289173400;57200305588;55686247600;,Microsatellite Alterations and Protein Expression of 5 Major Tumor Suppressor Genes in Gastric Adenocarcinomas,2018,Translational Oncology,3,10.1016/j.tranon.2017.10.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040744948&doi=10.1016%2fj.tranon.2017.10.007&partnerID=40&md5=082c76821dcf8b18653ae57ea997fdbd,Article,Final,1,Scopus,2-s2.0-85040744948
"Hua X., Tang R., Xu X., Wang Z., Xu Q., Chen L., Wingender E., Li J., Zhang C., Wang J.",43761917900;57200330979;57200341281;57200335668;57199179232;57190813373;56091170100;55909144300;57199503668;57200335456;,MirTrans: A resource of transcriptional regulation on microRNAs for human cell lines,2018,Nucleic Acids Research,8,10.1093/nar/gkx996,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040919972&doi=10.1093%2fnar%2fgkx996&partnerID=40&md5=27777e9d6c6e73436eae00f2c2d39e61,Article,Final,1,Scopus,2-s2.0-85040919972
"Han H., Cho J.-W., Lee S., Yun A., Kim H., Bae D., Yang S., Kim C.Y., Lee M., Kim E., Lee S., Kang B., Jeong D., Kim Y., Jeon H.-N., Jung H., Nam S., Chung M., Kim J.-H., Lee I.",56688001500;57200328354;57202327766;56688283400;57075099400;56688167000;56291802500;56687848800;57200328840;57217796938;57200330026;56688055100;57200327738;57200328824;57200327810;57211719399;57200329790;57200327536;55770086200;7404442259;,TRRUST v2: An expanded reference database of human and mouse transcriptional regulatory interactions,2018,Nucleic Acids Research,160,10.1093/nar/gkx1013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040866401&doi=10.1093%2fnar%2fgkx1013&partnerID=40&md5=b0831edf551b98a1ae3ac8294663187e,Article,Final,1,Scopus,2-s2.0-85040866401
"Li L., Wang Y., An L., Kong X., Huang T.",55618948200;9250906400;56779507900;15742790800;56542142100;,A network-based method using a random walk with restart algorithm and screening tests to identify novel genes associated with Menière’s disease,2017,PLoS ONE,21,10.1371/journal.pone.0182592,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026885652&doi=10.1371%2fjournal.pone.0182592&partnerID=40&md5=28aae58109ed0c74fde7d71bf13c2032,Article,Final,1,Scopus,2-s2.0-85026885652
"Hou J.-Y., Wang Y.-G., Ma S.-J., Yang B.-Y., Li Q.-P.",57192161283;55972834300;36806521100;57192705464;57192156414;,Identification of a prognostic 5-Gene expression signature for gastric cancer,2017,Journal of Cancer Research and Clinical Oncology,14,10.1007/s00432-016-2324-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007475077&doi=10.1007%2fs00432-016-2324-z&partnerID=40&md5=a9b8facafae07e386fd51d2b6fb5b9a4,Article,Final,0,Scopus,2-s2.0-85007475077
"Ma G., Liu H., Hua Q., Wang M., Du M., Lin Y., Ge Y., Gong W., Zhao Q., Qiang F., Tao G., Zhang Z., Chu H.",56457234400;57193421273;56457751700;56151035900;55620536000;57193427436;56927430700;8868454200;55479207500;36101662200;47161721800;55608623600;36614007100;,KCNMA1 cooperating with PTK2 is a novel tumor suppressor in gastric cancer and is associated with disease outcome,2017,Molecular Cancer,15,10.1186/s12943-017-0613-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013832298&doi=10.1186%2fs12943-017-0613-z&partnerID=40&md5=dc7923e9dc6a21bba4428c9a0391ec07,Article,Final,1,Scopus,2-s2.0-85013832298
