Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Heimann M., Safavi T., Shen H., Koutra D.",57202432211;57201134239;57204941181;49861458400;,Regal: Representation Learning-based Graph Alignment,2018,"International Conference on Information and Knowledge Management, Proceedings",35,10.1145/3269206.3271788,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058034754&doi=10.1145%2f3269206.3271788&partnerID=40&md5=e0f917a1f1739430a52c0ba029139799,Conference Paper,Final,0,Scopus,2-s2.0-85058034754
"Kalecky K., Cho Y.-R.",57195565260;55143648300;,PrimAlign: PageRank-inspired Markovian alignment for large biological networks,2018,Bioinformatics,7,10.1093/bioinformatics/bty288,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050818967&doi=10.1093%2fbioinformatics%2fbty288&partnerID=40&md5=8cd9142053c45ccee4c3714d11899336,Conference Paper,Final,1,Scopus,2-s2.0-85050818967
"Alpert A., Moore L.S., Dubovik T., Shen-Orr S.S.",57190945738;57201458157;57190045306;7801641868;,Alignment of single-cell trajectories to compare cellular expression dynamics,2018,Nature Methods,21,10.1038/nmeth.4628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044974461&doi=10.1038%2fnmeth.4628&partnerID=40&md5=a975af0f48c72ecff9fecc93ac415c1e,Article,Final,0,Scopus,2-s2.0-85044974461
"Li Y., Wu F.-X., Ngom A.",8233512800;55843631800;7003729382;,A review on machine learning principles for multi-view biological data integration,2018,Briefings in Bioinformatics,82,10.1093/bib/bbw113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049474548&doi=10.1093%2fbib%2fbbw113&partnerID=40&md5=76caeee45286c088c1a977fb73943626,Review,Final,1,Scopus,2-s2.0-85049474548
"Colomé-Tatché M., Theis F.J.",24921523400;6701364934;,Statistical single cell multi-omics integration,2018,Current Opinion in Systems Biology,17,10.1016/j.coisb.2018.01.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045325679&doi=10.1016%2fj.coisb.2018.01.003&partnerID=40&md5=f55bf882736098619bb3465ff0bd5b80,Review,Final,1,Scopus,2-s2.0-85045325679
"Sawyer A., Winkler M.",56514863300;57197618161;,Evolution of Chlamydomonas reinhardtii ferredoxins and their interactions with [FeFe]-hydrogenases,2017,Photosynthesis Research,10,10.1007/s11120-017-0409-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020543096&doi=10.1007%2fs11120-017-0409-4&partnerID=40&md5=31ec4b71f585e4401a7db2de3b38d76c,Review,Final,0,Scopus,2-s2.0-85020543096
"Welch J.D., Hartemink A.J., Prins J.F.",27568179000;7003293117;7102303465;,MATCHER: Manifold alignment reveals correspondence between single cell transcriptome and epigenome dynamics,2017,Genome Biology,29,10.1186/s13059-017-1269-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025599203&doi=10.1186%2fs13059-017-1269-0&partnerID=40&md5=d19fa353511d16ec0c99a585f6b77a3f,Article,Final,1,Scopus,2-s2.0-85025599203
"Fefferman C., Mitter S., Narayanan H.",6701495570;7005289085;7005637754;,Testing the manifold hypothesis,2016,Journal of the American Mathematical Society,25,10.1090/jams/852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979774604&doi=10.1090%2fjams%2f852&partnerID=40&md5=9f9d50e37e275c0e3d6b95e1a722260a,Article,Final,0,Scopus,2-s2.0-84979774604
"Minh H.Q., Bazzani L., Murino V.",35234381000;35589476700;7006595496;,A unifying framework in vector-valued reproducing kernel Hilbert spaces for manifold regularization and co-regularized multi-view learning,2016,Journal of Machine Learning Research,24,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979950725&partnerID=40&md5=ad54739304ef0140a40af35d0d35c053,Article,Final,0,Scopus,2-s2.0-84979950725
"Yan K.-K., Wang D., Sethi A., Muir P., Kitchen R., Cheng C., Gerstein M.",55757783775;56366053500;8251254100;56769203200;35185257100;35304722700;24755400900;,Cross-Disciplinary Network Comparison: Matchmaking between Hairballs,2016,Cell Systems,3,10.1016/j.cels.2016.02.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962147301&doi=10.1016%2fj.cels.2016.02.014&partnerID=40&md5=86d141272f79bd6d718b8e8369a045af,Review,Final,1,Scopus,2-s2.0-84962147301
"Vijayan V., Saraph V., Milenković T.",56844943800;56494983400;23987373400;,MAGNA11: Maximizing accuracy in global network alignment via both node and edge conservation,2015,Bioinformatics,70,10.1093/bioinformatics/btv161,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930970906&doi=10.1093%2fbioinformatics%2fbtv161&partnerID=40&md5=7efd7a9d28bb4d9a6081b461190867ab,Article,Final,1,Scopus,2-s2.0-84930970906
"Zones J.M., Blaby I.K., Merchant S.S., Umen J.G.",37110371100;13408823100;7102344014;6602368052;,High-resolution profiling of a synchronized diurnal transcriptome from Chlamydomonas reinhardtii reveals continuous cell and metabolic differentiation,2015,Plant Cell,99,10.1105/tpc.15.00498,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946713660&doi=10.1105%2ftpc.15.00498&partnerID=40&md5=a7e5c8f74bcfdcd5677210ea5d96feb7,Article,Final,0,Scopus,2-s2.0-84946713660
"De Amorim R.C., Hennig C.",26967512400;57196610402;,Recovering the number of clusters in data sets with noise features using feature rescaling factors,2015,Information Sciences,144,10.1016/j.ins.2015.06.039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940702169&doi=10.1016%2fj.ins.2015.06.039&partnerID=40&md5=13e394f76720e09480c037a2a3e4a8bd,Article,Final,0,Scopus,2-s2.0-84940702169
"Wang W., Arora R., Livescu K., Bilmes J.",56599762900;35092083100;6507071953;7003705752;,On deep multi-view representation learning,2015,"32nd International Conference on Machine Learning, ICML 2015",264,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969750897&partnerID=40&md5=d527f359acff621b4197a03b4287e891,Conference Paper,Final,0,Scopus,2-s2.0-84969750897
"Saraph V., Milenković T.",56494983400;23987373400;,MAGNA: Maximizing Accuracy in Global Network Alignment,2014,"Bioinformatics (Oxford, England)",95,10.1093/bioinformatics/btu409,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921734389&doi=10.1093%2fbioinformatics%2fbtu409&partnerID=40&md5=47e994a33a98469d10e773165f739993,Article,Final,1,Scopus,2-s2.0-84921734389
"Yang Y., Han L., Yuan Y., Li J., Hei N., Liang H.",57213785420;20734104100;55702148100;56099496000;24070224000;23489595000;,Gene co-expression network analysis reveals common system-level properties of prognostic genes across cancer types,2014,Nature Communications,187,10.1038/ncomms4231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893867792&doi=10.1038%2fncomms4231&partnerID=40&md5=5a8574ec43e4ce62d827031003538e88,Article,Final,1,Scopus,2-s2.0-84893867792
"Yan K.-K., Wang D., Rozowsky J., Zheng H., Cheng C., Gerstein M.",55757783775;56366053500;6603143559;57199906025;35304722700;24755400900;,OrthoClust: an orthology-based network framework for clustering data across multiple species,2014,Genome biology,26,10.1186/gb-2014-15-8-r100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964315999&doi=10.1186%2fgb-2014-15-8-r100&partnerID=40&md5=62a42fdaea4812b764adce919e6321da,Article,Final,1,Scopus,2-s2.0-84964315999
