Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Karpiński S.,,"Light acclimation, retrograde signalling, cell death and immune defences in plants",2013,"Plant, Cell and Environment",103,10.1111/pce.12018,Poland,Article,Warsaw,1,Journal,2-s2.0-84874688981
Heinnickel M.L.,,Novel Thylakoid Membrane GreenCut Protein CPLD38 Impacts Accumulation of the Cytochrome b6f Complex and Associated Regulatory Processes,2013,Journal of Biological Chemistry,18,10.1074/jbc.M112.427476,United States,Article,Stanford,1,Journal,2-s2.0-84874871992
Xiao J.,,DAC is involved in the accumulation of the cytochrome b<inf>6</inf>/f complex in Arabidopsis,2012,Plant Physiology,18,10.1104/pp.112.204891,China,Article,Beijing,1,Journal,2-s2.0-84870772870
Link S.,,The atypical short-chain dehydrogenases HCF173 and HCF244 are jointly involved in translational initiation of the psbA mRNA of arabidopsis,2012,Plant Physiology,30,10.1104/pp.112.205104,Germany,Article,Dusseldorf,1,Journal,2-s2.0-84870811584
Hakoyama T.,,The SNARE protein SYP71 expressed in vascular tissues is involved in symbiotic nitrogen fixation in Lotus japonicus nodules,2012,Plant Physiology,23,10.1104/pp.112.200782,Japan;Japan,Article,Tokyo;Tsukuba,1,Journal,2-s2.0-84867126587
Najafpour M.M.,,Biological water-oxidizing complex: A nano-sized manganese-calcium oxide in a protein environment,2012,Photosynthesis Research,35,10.1007/s11120-012-9778-x,Iran,Review,Zanjan,0,Journal,2-s2.0-84865458687
Li W.,,Identification of a novel thylakoid protein gene involved in cold acclimation in cyanobacteria,2012,Microbiology (United Kingdom),7,10.1099/mic.0.060038-0,China,Article,Wuhan,0,Journal,2-s2.0-84865700897
Eveland A.,,"Sugars, signalling, and plant development",2012,Journal of Experimental Botany,233,10.1093/jxb/err379,United States,Review,Cold Spring Harbor,1,Journal,2-s2.0-84861851640
Lundquist P.K.,,The functional network of the arabidopsis plastoglobule proteome based on quantitative proteomics and genome-wide coexpression analysis,2012,Plant Physiology,121,10.1104/pp.111.193144,United States,Article,Ithaca,1,Journal,2-s2.0-84857950653
Puthiyaveetil S.,,Oxidation-reduction signalling components in regulatory pathways of state transitions and photosystem stoichiometry adjustment in chloroplasts,2012,"Plant, Cell and Environment",52,10.1111/j.1365-3040.2011.02349.x,United Kingdom,Article,London,0,Journal,2-s2.0-84855352370
