Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
MacDonald T.,,Expression profiling of medulloblastoma: PDGFRA and the RAS/MAPK pathway as therapeutic targets for metastatic disease,2001,Nature Genetics,366,10.1038/ng731,United States,Article,"Washington, D.C.",0,Journal,2-s2.0-0034794796
Hahn H.,,Patched target Igf2 is indispensable for the formation of medulloblastoma and rhabdomyosarcoma,2000,Journal of Biological Chemistry,171,10.1074/jbc.C000352200,Germany,Article,Munich,1,Journal,2-s2.0-0034665975
Wetmore C.,,The normal patched allele is expressed in medulloblastomas from mice with heterozygous germ-line mutation of patched,2000,Cancer Research,173,,United States,Article,"Memphis TN,",0,Journal,2-s2.0-0034655270
Brown M.,,Knowledge-based analysis of microarray gene expression data by using support vector machines,2000,Proceedings of the National Academy of Sciences of the United States of America,1723,10.1073/pnas.97.1.262,United States,Article,Santa Cruz,1,Journal,2-s2.0-0034602774
Golub T.,,Molecular classification of cancer: Class discovery and class prediction by gene expression monitoring,1999,Science,8575,10.1126/science.286.5439.531,United States;United States,Article,Cambridge;Boston,0,Journal,2-s2.0-0033569406
Tamayo P.,,Interpreting patterns of gene expression with self-organizing maps: Methods and application to hematopoietic differentiation,1999,Proceedings of the National Academy of Sciences of the United States of America,2309,10.1073/pnas.96.6.2907,United States,Conference Paper,Cambridge,1,Journal,2-s2.0-0033027794
Kim J.Y.H.,,Activation of neurotrophin-3 receptor TrkC induces apoptosis in medulloblastomas,1999,Cancer Research,132,,United States;United States,Article,Boston;Boston,0,Journal,2-s2.0-0033083048
Murone M.,,Sonic hedgehog signaling by the patched-smoothened receptor complex,1999,Current Biology,245,10.1016/S0960-9822(99)80018-9,United States,Article,San Francisco,1,Journal,2-s2.0-0009603803
Packer R.J.,,Treatment of children with medulloblastomas with reduced-dose craniospinal radiation therapy and adjuvant chemotherapy: A Children's Cancer Group study,1999,Journal of Clinical Oncology,448,10.1200/jco.1999.17.7.2127,United States,Article,Bethesda,0,Journal,2-s2.0-0033056823
Biegel J.A.,,Germ-line and acquired mutations of INI1 in atypical teratoid and rhabdoid tumors,1999,Cancer Research,640,,United States;United States,Article,Philadelphia;Philadelphia,0,Journal,2-s2.0-0032940605
Wechsler-Reya R.,,Control of neuronal precursor proliferation in the cerebellum by sonic hedgehog,1999,Neuron,965,10.1016/S0896-6273(00)80682-0,United States,Article,Stanford,1,Journal,2-s2.0-0032959871
Eisen M.,,Cluster analysis and display of genome-wide expression patterns,1998,Proceedings of the National Academy of Sciences of the United States of America,12573,10.1073/pnas.95.25.14863,United States,Article,Stanford,0,Journal,2-s2.0-0032441150
Versteege I.,,Truncating mutations of hSNF5/INI1 in aggressive paediatric cancer,1998,Nature,1075,10.1038/28212,France,Article,Paris,0,Journal,2-s2.0-2642647094
Xie J.,,Mutations of the PATCHED gene in several types of sporadic extracutaneous tumors,1997,Cancer Research,266,,United States,Article,San Francisco,0,Journal,2-s2.0-15644373337
Pietsch T.,,Medulloblastomas of the desmoplastic variant carry mutations of the human homologue of Drosophila patched,1997,Cancer Research,329,,Germany,Article,Bonn,0,Journal,2-s2.0-0030913169
Raffel C.,,Sporadic medulloblastomas contain PTCH mutations,1997,Cancer Research,473,,United States,Article,Rochester,0,Journal,2-s2.0-0031036694
Johnson R.L.,,"Human homolog of patched, a candidate gene for the basal cell nevus syndrome",1996,Science,1527,10.1126/science.272.5268.1668,United States,Article,Stanford,0,Journal,2-s2.0-15844381336
Hahn H.,,Mutations of the human homolog of drosophila patched in the nevoid basal cell carcinoma syndrome,1996,Cell,1569,10.1016/S0092-8674(00)81268-4,,Article,,1,Journal,2-s2.0-15844386165
Yokota N.,,Predominant expression of human Zic in cerebellar granule cell lineage and medulloblastoma,1996,Cancer Research,112,,Japan;Japan,Article,Wako;Hamamatsu,0,Journal,2-s2.0-0030066459
Rorke L.,,Central nervous system atypical teratoid/rhabdoid tumors of infancy and childhood: Definition of an entity,1996,Journal of Neurosurgery,585,10.3171/jns.1996.85.1.0056,United States,Article,Philadelphia,0,Journal,2-s2.0-0029934329
Segal R.,,Expression of the neurotrophin receptor TrkC is linked to a favorable outcome in medulloblastoma,1994,Proceedings of the National Academy of Sciences of the United States of America,217,10.1073/pnas.91.26.12867,United States;United States;United States,Article,Boston;Boston;Boston,1,Journal,2-s2.0-0028568009
Aruga J.,,"A novel zinc finger protein, zic, is involved in neurogenesis, especially in the cell lineage of cerebellar granule cells",1994,Journal of Neurochemistry,194,10.1046/j.1471-4159.1994.63051880.x,Japan,Article,Wako,0,Journal,2-s2.0-0027960488
Rorke L.B.,,Presidential address: The cerebellar medulloblastoma and its relationship to primitive neuroectodermal tumors,1983,Journal of Neuropathology and Experimental Neurology,432,10.1097/00005072-198301000-00001,United States,Article,Philadelphia,1,Journal,2-s2.0-84938457755
Kadin M.,,Neonatal cerebellar medulloblastoma originating from the fetal external granular layer,1970,Journal of Neuropathology and Experimental Neurology,115,10.1097/00005072-197010000-00005,United States;United States,Article,Stanford;St. Louis,0,Journal,2-s2.0-0014868050
