Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Ly T.,,CYP264B1 from Sorangium cellulosum so ce56: A fascinating norisoprenoid and sesquiterpene hydroxylase,2012,Applied Microbiology and Biotechnology,29,10.1007/s00253-011-3727-z,Germany,Article,Saarbrucken,0,Journal,2-s2.0-84862019716
Bleif S.,,A new Bacillus megaterium whole-cell catalyst for the hydroxylation of the pentacyclic triterpene 11-keto-β-boswellic acid (KBA) based on a recombinant cytochrome P450 system,2012,Applied Microbiology and Biotechnology,45,10.1007/s00253-011-3467-0,Germany,Article,Saarbrucken,0,Journal,2-s2.0-84856382805
Shi Y.,,Both human ferredoxins 1 and 2 and ferredoxin reductase are important for iron-sulfur cluster biogenesis,2012,Biochimica et Biophysica Acta - Molecular Cell Research,86,10.1016/j.bbamcr.2011.11.002,China;United States,Article,Shanghai;Bethesda,1,Journal,2-s2.0-84855766784
Urlacher V.,,Cytochrome P450 monooxygenases: An update on perspectives for synthetic application,2012,Trends in Biotechnology,321,10.1016/j.tibtech.2011.06.012,Germany,Review,Dusseldorf,0,Journal,2-s2.0-84355163053
Salamanca-Pinzón S.,,A tricistronic human adrenodoxin reductase-adrenodoxin-cytochrome P450 27A1 vector system for substrate hydroxylation in Escherichia coli,2011,Protein Expression and Purification,11,10.1016/j.pep.2011.05.008,United States,Article,Nashville,0,Journal,2-s2.0-79960674155
Strushkevich N.,,Structural basis for pregnenolone biosynthesis by the mitochondrial monooxygenase system,2011,Proceedings of the National Academy of Sciences of the United States of America,148,10.1073/pnas.1019441108,Canada,Article,Toronto,1,Journal,2-s2.0-79959950838
Hakki T.,,"The development of a whole-cell based medium throughput screening system for the discovery of human aldosterone synthase (CYP11B2) inhibitors: Old drugs disclose new applications for the therapy of congestive heart failure, myocardial fibrosis and hypertension",2011,Journal of Steroid Biochemistry and Molecular Biology,15,10.1016/j.jsbmb.2010.12.011,Germany,Article,Saarbrucken,0,Journal,2-s2.0-79952041662
Bleif S.,,Identification of CYP106A2 as a Regioselective Allylic Bacterial Diterpene Hydroxylase,2011,ChemBioChem,47,10.1002/cbic.201000404,Germany,Article,Saarbrucken,0,Journal,2-s2.0-79952021883
Nelson D.,,Progress in tracing the evolutionary paths of cytochrome P450,2011,Biochimica et Biophysica Acta - Proteins and Proteomics,148,10.1016/j.bbapap.2010.08.008,United States,Article,Memphis,0,Journal,2-s2.0-78649449149
Schuster I.,,Cytochromes P450 are essential players in the vitamin D signaling system,2011,Biochimica et Biophysica Acta - Proteins and Proteomics,166,10.1016/j.bbapap.2010.06.022,Austria,Review,Vienna,0,Journal,2-s2.0-78649447575
Khatri Y.,,The CYPome of sorangium cellulosum so ce56 and identification of CYP109D1 as a new fatty acid hydroxylase,2010,Chemistry and Biology,45,10.1016/j.chembiol.2010.10.010,Germany,Article,Saarbrucken,1,Journal,2-s2.0-78650457236
Khatri Y.,,Regioselective hydroxylation of norisoprenoids by CYP109D1 from Sorangium cellulosum so ce56,2010,Applied Microbiology and Biotechnology,46,10.1007/s00253-010-2756-3,Germany,Article,Saarbrucken,0,Journal,2-s2.0-77956225590
Sheftel A.,,"Humans possess two mitochondrial ferredoxins, Fdx1 and Fdx2, with distinct roles in steroidogenesis, heme, and Fe/S cluster biosynthesis",2010,Proceedings of the National Academy of Sciences of the United States of America,136,10.1073/pnas.1004250107,Germany,Article,Marburg,1,Journal,2-s2.0-77955405138
Girhard M.,,Characterization of the versatile monooxygenase CYP109B1 from Bacillus subtilis,2010,Applied Microbiology and Biotechnology,75,10.1007/s00253-010-2472-z,Germany,Article,Stuttgart,0,Journal,2-s2.0-77953081396
