Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Stoltzfus A.,,On the possibility of constructive neutral evolution,1999,Journal of Molecular Evolution,273,10.1007/PL00006540,United States;Canada,Article,Baltimore;Halifax,0,Journal,2-s2.0-0032770725
Force A.,,"Preservation of duplicate genes by complementary, degenerative mutations",1999,Genetics,2473,,United States,Article,Eugene,0,Journal,2-s2.0-0032893932
Wagner A.,,Redundant gene functions and natural selection,1999,Journal of Evolutionary Biology,73,10.1046/j.1420-9101.1999.00008.x,United States;United States,Article,Albuquerque;Santa Fe,0,Journal,2-s2.0-0032921497
Xu P.,,Regulation of Pax6 expression is conserved between mice and flies,1999,Development,146,,United States,Article,Boston,0,Journal,2-s2.0-0032942213
Kammandel B.,,Distinct cis-essential modules direct the time-space pattern of the Pax6 gene activity,1999,Developmental Biology,227,10.1006/dbio.1998.9128,Germany,Article,Gottingen,1,Journal,2-s2.0-0032895297
Amores A.,,Zebrafish hox clusters and vertebrate genome evolution,1998,Science,1339,10.1126/science.282.5394.1711,,Article,,0,Journal,2-s2.0-0032573579
Ramos-Onsins S.,,Molecular evolution of the Cecropin multigene family in Drosophila: Functional genes vs. pseudogenes,1998,Genetics,67,,Spain,Article,Barcelona,0,Journal,2-s2.0-0031696837
Nornes S.,,Zebrafish contains two Pax6 genes involved in eye development,1998,Mechanisms of Development,119,10.1016/S0925-4773(98)00156-7,Norway,Article,Tromso,1,Journal,2-s2.0-0031728189
Postlethwait J.H.,,Vertebrate genome evolution and the zebrafish gene map,1998,Nature Genetics,649,10.1038/ng0498-345,United States,Article,Eugene,0,Journal,2-s2.0-18244431887
DiLeone R.,,An extensive 3' regulatory region controls expression of Bmp5 in specific anatomical structures of the mouse embryo,1998,Genetics,70,,United States,Article,Stanford,0,Journal,2-s2.0-0031906441
Nadeau J.,,Comparable rates of gene loss and functional divergence after genome duplications early in vertebrate evolution,1997,Genetics,164,,United States,Article,Cleveland,0,Journal,2-s2.0-0030716471
Henikoff S.,,Gene families: The taxonomy of protein paralogs and chimeras,1997,Science,293,10.1126/science.278.5338.609,United States,Article,Chevy Chase,0,Journal,2-s2.0-0030660580
Nowak M.,,Evolution of genetic redundancy,1997,Nature,455,10.1038/40618,United Kingdom,Article,Oxford,0,Journal,2-s2.0-0030836756
Arnone M.,,The hardwiring of development: Organization and function of genomic regulatory systems,1997,Development,503,,United States,Article,Pasadena,0,Journal,2-s2.0-0030986188
Brookfield J.F.Y.,,3 Genetic Redundancy,1997,Advances in Genetics,40,10.1016/S0065-2660(08)60308-9,United Kingdom,Chapter,Nottingham,0,Book Series,2-s2.0-0030625445
Westin J.,,Three novel Notch genes in zebrafish: Implications for vertebrate Notch gene evolution and function,1997,Development Genes and Evolution,114,10.1007/s004270050091,Sweden,Article,Uppsala,0,Journal,2-s2.0-0030980957
Kirchhamer C.,,"Modular cis-regulatory organization of developmentally expressed genes: Two genes transcribed territorially in the sea urchin embryo, and additional examples",1996,Proceedings of the National Academy of Sciences of the United States of America,87,10.1073/pnas.93.18.9322,United States,Article,Pasadena,1,Journal,2-s2.0-0029817680
Sidow A.,,Gen(om)e duplications in the evolution of early vertebrates,1996,Current Opinion in Genetics and Development,354,10.1016/S0959-437X(96)80026-8,United States,Article,Cambridge,0,Journal,2-s2.0-0030473920
Clark A.,,Spontaneous mutation rate of modifiers of metabolism in Drosophila,1995,Genetics,22,,United States,Article,University Park,0,Journal,2-s2.0-0028857441
Jack J.,,Structure and regulation of a complex locus: The cut gene of Drosophila,1995,Genetics,51,,United States,Article,Farmington,0,Journal,2-s2.0-0028951563
Slusarski D.,,Mutations that alter the timing and pattern of cubitus interruptus gene expression in Drosophila melanogaster,1995,Genetics,94,,United States,Article,Evanston,0,Journal,2-s2.0-0028809104
Donnelly P.,,Coalescents and genealogical structure under neutrality,1995,Annual Review of Genetics,270,10.1146/annurev.ge.29.120195.002153,United States,Review,Chicago,0,Book Series,2-s2.0-0029559462
Clark A.,,Invasion and maintenance of a gene duplication,1994,Proceedings of the National Academy of Sciences of the United States of America,129,10.1073/pnas.91.8.2950,United States,Article,University Park,1,Journal,2-s2.0-0028348636
Huang J.,,The interplay between multiple enhancer and silencer elements defines the pattern of decapentaplegic expression,1993,Genes and Development,114,10.1101/gad.7.4.694,United States,Article,Los Angeles,1,Journal,2-s2.0-0027189976
Hughes M.K.,,"Evolution of duplicate genes in a tetraploid animal, Xenopus laevis",1993,Molecular Biology and Evolution,198,,United States,Article,University Park,0,Journal,2-s2.0-0027423610
Lundin L.,,Evolution of the vertebrate genome as reflected in paralogous chromosomal regions in man and the house mouse,1993,Genomics,391,10.1006/geno.1993.1133,Sweden,Review,Uppsala,0,Journal,2-s2.0-0027284770
Graf J.,,Chapter 2 Genetics of Xenopus laevis,1991,Methods in Cell Biology,110,10.1016/S0091-679X(08)60270-8,Switzerland,Article,Geneva,0,Book Series,2-s2.0-0026272190
Ohta T.,,Time for acquiring a new gene by duplication,1988,Proceedings of the National Academy of Sciences of the United States of America,33,10.1073/pnas.85.10.3509,Japan,Article,Mishima,1,Journal,2-s2.0-0023722408
Birky C.,,Effects of linkage on rates of molecular evolution,1988,Proceedings of the National Academy of Sciences of the United States of America,176,10.1073/pnas.85.17.6414,United States,Article,Columbus,1,Journal,2-s2.0-0342383237
Ohta T.,,Simulating evolution by gene duplication,1987,Genetics,99,,Japan,Article,Mishima,0,Journal,2-s2.0-0023115587
Watterson G.,,On the time for gene silencing at duplicate loci,1983,Genetics,61,,Australia,Article,Melbourne,0,Journal,2-s2.0-0021066331
Kingman J.,,The coalescent,1982,Stochastic Processes and their Applications,1621,10.1016/0304-4149(82)90011-4,United Kingdom,Article,Oxford,1,Journal,2-s2.0-33845412091
Li W.,,Rate of gene silencing at duplicate loci. A theoretical study and interpretation of data from tetraploid fishes,1980,Genetics,121,,United States,Article,Houston,0,Journal,2-s2.0-0018953460
Ferris S.,,Evolution of the differential regulation of duplicate genes after polyploidization,1979,Journal of Molecular Evolution,159,10.1007/BF01732026,United States,Article,Urbana,0,Journal,2-s2.0-0018344224
Takahata N.,,Polymorphism and loss of duplicate gene expression: A theoretical study with application to tetraploid fish,1979,Proceedings of the National Academy of Sciences of the United States of America,50,10.1073/pnas.76.9.4521,Japan,Article,Mishima,1,Journal,2-s2.0-0018645703
Kimura M.,,Fixation of a deleterious allele at one of two 'duplicate' loci by mutation pressure and random drift,1979,Proceedings of the National Academy of Sciences of the United States of America,63,10.1073/pnas.76.6.2858,Japan,Article,Mishima,1,Journal,2-s2.0-0018757601
Bailey G.,,Gene duplication in tetraploid fish: model for gene silencing at unlinked duplicated loci,1978,Proceedings of the National Academy of Sciences of the United States of America,111,10.1073/pnas.75.11.5575,New Zealand,Article,Dunedin,1,Journal,2-s2.0-0012643514
