Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Trygg J.,,Orthogonal projections to latent structures (O-PLS),2002,Journal of Chemometrics,1532,10.1002/cem.695,Sweden,Article,Umea,0,Journal,2-s2.0-0036083139
Svensson O.,,An investigation of orthogonal signal correction algorithms and their characteristics,2002,Journal of Chemometrics,130,10.1002/cem.700,Canada,Article,Hamilton,0,Journal,2-s2.0-0036083363
Wold S.,,Some recent developments in PLS modeling,2001,Chemometrics and Intelligent Laboratory Systems,424,10.1016/S0169-7439(01)00156-3,Sweden,Conference Paper,Umea,0,Journal,2-s2.0-0035965479
Eriksson L.,,2D wavelet analysis and compression of on-line industrial process data,2001,Journal of Chemometrics,40,10.1002/cem.681,Sweden,Article,Umea,0,Journal,2-s2.0-0035008202
Goicoechea H.C.,,A comparison of orthogonal signal correction and net analyte preprocessing methods. Theoretical and experimental study,2001,Chemometrics and Intelligent Laboratory Systems,105,10.1016/S0169-7439(01)00110-1,Argentina,Article,Santa Fe,0,Journal,2-s2.0-0035972910
Westerhuis J.,,Direct orthogonal signal correction,2001,Chemometrics and Intelligent Laboratory Systems,269,10.1016/S0169-7439(01)00102-2,Netherlands,Article,Amsterdam,0,Journal,2-s2.0-0035897287
Höskuldsson A.,,Variable and subset selection in PLS regression,2001,Chemometrics and Intelligent Laboratory Systems,220,10.1016/S0169-7439(00)00113-1,Denmark,Article,Lyngby,0,Journal,2-s2.0-0035852404
Fearn T.,,On orthogonal signal correction,2000,Chemometrics and Intelligent Laboratory Systems,278,10.1016/S0169-7439(99)00045-3,United Kingdom,Article,London,0,Journal,2-s2.0-0033982350
Haaland D.,,New prediction-augmented classical least-squares (PACLS) methods: application to unmodeled interferents,2000,Applied Spectroscopy,68,10.1366/0003702001951228,United States,Article,Albuquerque,0,Journal,2-s2.0-0034270706
Smilde A.,,Calibration methods for complex second-order data,1999,Analytica Chimica Acta,69,10.1016/S0003-2670(99)00374-8,Netherlands,Article,Amsterdam,0,Journal,2-s2.0-0032823189
Geladi P.,,Calibration transfer for predicting lake-water pH from near infrared spectra of lake sediments,1999,Journal of Near Infrared Spectroscopy,45,10.1255/jnirs.256,Sweden,Article,Umea,0,Journal,2-s2.0-0347420263
Bakshi B.R.,,Multiscale analysis and modeling using wavelets,1999,Journal of Chemometrics,148,10.1002/(sici)1099-128x(199905/08)13:3/4<415::aid-cem544>3.3.co;2-#,United States,Article,Columbus,0,Journal,2-s2.0-0000307067
Sjöblom J.,,An evaluation of orthogonal signal correction applied to calibration transfer of near infrared spectra,1998,Chemometrics and Intelligent Laboratory Systems,243,10.1016/S0169-7439(98)00112-9,Sweden,Conference Paper,Sodertalje,0,Journal,2-s2.0-0141812475
Wold S.,,Orthogonal signal correction of near-infrared spectra,1998,Chemometrics and Intelligent Laboratory Systems,889,10.1016/S0169-7439(98)00109-9,Sweden,Conference Paper,Umea,0,Journal,2-s2.0-0032517819
Trygg J.,,PLS regression on wavelet compressed NIR spectra,1998,Chemometrics and Intelligent Laboratory Systems,168,10.1016/S0169-7439(98)00013-6,Sweden,Article,Umea,0,Journal,2-s2.0-0032563614
Windig W.,,Spectral data files for self-modeling curve resolution with examples using the Simplisma approach,1997,Chemometrics and Intelligent Laboratory Systems,119,10.1016/S0169-7439(96)00061-5,United States,Article,Rochester,0,Journal,2-s2.0-0031081454
Rännar S.,,"A PLS kernel algorithm for data sets with many variables and few objects. Part II: Cross‐validation, missing data and examples",1995,Journal of Chemometrics,41,10.1002/cem.1180090604,Sweden,Article,Umea,0,Journal,2-s2.0-84984344482
Haaland D.,,Partial Least-Squares Methods for Spectral Analyses. Application to Simulated and Glass Spectral Data,1988,Analytical Chemistry,264,10.1021/ac00162a021,United States,Article,Albuquerque,0,Journal,2-s2.0-0024034479
Haaland D.,,Partial Least-Squares Methods for Spectral Analyses. 1. Relation to Other Quantitative Calibration Methods and the Extraction of Qualitative Information,1988,Analytical Chemistry,2214,10.1021/ac00162a020,United States,Article,Albuquerque,0,Journal,2-s2.0-0024034712
Lindberg W.,,Partial Least-Squares Method for Spectrofluorimetric Analysis of Mixtures of Humic Acid and Ligninsulfonate,1983,Analytical Chemistry,403,10.1021/ac00255a014,Sweden,Article,Umea,0,Journal,2-s2.0-0042292781
Brown C.,,Matrix Representations and Criteria for Selecting Analytical Wavelengths for Multicomponent Spectroscopic Analysis,1982,Analytical Chemistry,196,10.1021/ac00246a007,United States,Article,Kingston,0,Journal,2-s2.0-0020168321
Wold S.,,Cross-Validatory Estimation of the Number of Components in Factor and Principal Components Models,1978,Technometrics,2139,10.1080/00401706.1978.10489693,Sweden,Article,Umea,0,Journal,2-s2.0-84951601886
