Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Patron N.,,Transit peptide diversity and divergence: A global analysis of plastid targeting signals,2007,BioEssays,111,10.1002/bies.20638,Australia,Review,Parkville,0,Journal,2-s2.0-34948841463
Khan H.,,Plastid genome sequence of the cryptophyte alga Rhodomonas salina CCMP1319: Lateral transfer of putative DNA replication machinery and a test of chromist plastid phylogeny,2007,Molecular Biology and Evolution,74,10.1093/molbev/msm101,Canada,Article,Halifax,1,Journal,2-s2.0-34547781748
Hackett J.D.,,Phylogenomic analysis supports the monophyly of cryptophytes and haptophytes and the association of rhizaria with chromalveolates,2007,Molecular Biology and Evolution,181,10.1093/molbev/msm089,United States;United States;United States,Article,Iowa City;Woods Hole;Tucson,1,Journal,2-s2.0-34547754024
Teich R.,,Origin and Distribution of Calvin Cycle Fructose and Sedoheptulose Bisphosphatases in Plantae and Complex Algae: A Single Secondary Origin of Complex Red Plastids and Subsequent Propagation via Tertiary Endosymbioses,2007,Protist,41,10.1016/j.protis.2006.12.004,Germany,Article,Braunschweig,0,Journal,2-s2.0-34249281858
Gruber A.,,Protein targeting into complex diatom plastids: Functional characterisation of a specific targeting motif,2007,Plant Molecular Biology,141,10.1007/s11103-007-9171-x,Germany,Article,Konstanz,0,Journal,2-s2.0-34250179494
Patron N.,,Multiple Gene Phylogenies Support the Monophyly of Cryptomonad and Haptophyte Host Lineages,2007,Current Biology,102,10.1016/j.cub.2007.03.069,Australia;Canada,Article,Parkville;Vancouver,1,Journal,2-s2.0-34247899047
Sommer M.,,Der1-mediated preprotein import into the periplastid compartment of chromalveolates?,2007,Molecular Biology and Evolution,118,10.1093/molbev/msm008,Germany,Article,Marburg,1,Journal,2-s2.0-34047211982
Sanchez-Puerta M.,,Plastid Genes in a Non-Photosynthetic Dinoflagellate,2007,Protist,63,10.1016/j.protis.2006.09.004,United States,Article,College Park,0,Journal,2-s2.0-33845695334
Toso M.A.,,Gregarina niphandrodes may lack both a plastid genome and organelle,2007,Journal of Eukaryotic Microbiology,51,10.1111/j.1550-7408.2006.00229.x,United States,Article,Pullman,0,Journal,2-s2.0-33846573417
Rogers M.,,The complete chloroplast genome of the chlorarachniophyte Bigelowiella natans: Evidence for independent origins of chlorarachniophyte and euglenid secondary endosymbionts,2007,Molecular Biology and Evolution,150,10.1093/molbev/msl129,Canada,Article,Vancouver,1,Journal,2-s2.0-33845891330
Reyes-Prieto A.,,Cyanobacterial Contribution to Algal Nuclear Genomes Is Primarily Limited to Plastid Functions,2006,Current Biology,80,10.1016/j.cub.2006.09.063,United States,Article,Iowa City,1,Journal,2-s2.0-33751422757
