Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Nonaka S.,,Determination of left-right patterning of the mouse embryo by artificial nodal flow,2002,Nature,473,10.1038/nature00849,Japan,Article,Suita,0,Journal,2-s2.0-0037019287
Hackett B.,,Formation and malformation of the vertebrate left-right axis,2002,Current Molecular Medicine,19,10.2174/1566524023363031,United States,Article,St. Louis,0,Journal,2-s2.0-0036086113
Pennekamp P.,,The ion channel polycystin-2 is required for left-right axis determination in mice,2002,Current Biology,341,10.1016/S0960-9822(02)00869-2,Germany,Article,Munster,1,Journal,2-s2.0-0037018850
Pazour G.,,Polycystin-2 localizes to kidney cilia and the ciliary level is elevated in orpk mice with polycystic kidney disease,2002,Current Biology,384,10.1016/S0960-9822(02)00877-1,United States,Note,Worcester,1,Journal,2-s2.0-0037019017
Sprenger C.C.,,Over-expression of insulin-like growth factor binding protein-related protein-1(igfbp-rp1/mac25) in the m12 prostate cancer cell line alters tumor growth by a delay in g1 and cyclin a associated apoptosis,2002,Oncogene,64,10.1038/sj.onc.1205021,United States;United States,Article,Seattle;Seattle,1,Journal,2-s2.0-0037011991
Essner J.J.,,Conserved function for embryonic nodal cilia,2002,Nature,278,10.1038/418037a,United States,Article,Salt Lake City,0,Journal,2-s2.0-0037019298
Rosenbaum J.,,Intraflagellar transport,2002,Nature Reviews Molecular Cell Biology,1077,10.1038/nrm952,United States,Review,New Haven,0,Journal,2-s2.0-0036844195
Praetorius H.,,Bending the MDCK cell primary cilium increases intracellular calcium,2001,Journal of Membrane Biology,611,10.1007/s00232-001-0075-4,United States,Article,Bethesda,0,Journal,2-s2.0-0035498717
Somlo S.,,Human disease: Calcium signaling in polycystic kidney disease,2001,Current Biology,75,10.1016/S0960-9822(01)00193-2,United States;United States,Review,New Haven;New Haven,1,Journal,2-s2.0-0035337902
Bousquet C.,,Antiproliferative effect of somatostatin and analogs,2001,Chemotherapy,105,10.1159/000049159,France,Review,Toulouse,0,Journal,2-s2.0-0035084694
Anthony Poole C.,,The differential distribution of acetylated and detyrosinated alpha-tubulin in the microtubular cytoskeleton and primary cilia of hyaline cartilage chondrocytes,2001,Journal of Anatomy,73,10.1046/j.1469-7580.2001.19940393.x,New Zealand,Article,Auckland,0,Journal,2-s2.0-0034773122
Hanaoka K.,,Co-assembly of polycystin-1 and -2 produces unique cation-permeable currents,2000,Nature,613,10.1038/35050128,,Article,,0,Journal,2-s2.0-0034700483
Pazour G.,,"Chlamydomonas IFT88 and its mouse homologue, polycystic kidney disease gene Tg737, are required for assembly of cilia and flagella",2000,Journal of Cell Biology,761,10.1083/jcb.151.3.709,United States,Article,Worcester,1,Journal,2-s2.0-0034735526
Brailov I.,,Localization of 5-HT<inf>6</inf> receptors at the plasma membrane of neuronal cilia in the rat brain,2000,Brain Research,158,10.1016/S0006-8993(00)02519-1,France,Article,Paris,0,Journal,2-s2.0-0034725792
Murcia N.,,The Oak Ridge Polycystic Kidney (orpk) disease gene is required for left-right axis determination,2000,Development,338,,United States,Article,Cleveland,0,Journal,2-s2.0-0034042763
Wheatley D.,,Length control of primary cilia: Analysis of monociliate and multiciliate PtK1 cells,2000,Biology of the Cell,24,10.1016/S0248-4900(00)01108-4,United Kingdom,Article,Aberdeen,0,Journal,2-s2.0-0034454802
Degeorges A.,,Distribution of IGFBP-rP1 in normal human tissues,2000,Journal of Histochemistry and Cytochemistry,67,10.1177/002215540004800603,United States,Article,Charlottesville,1,Journal,2-s2.0-0034119864
Ekholm S.,,Regulation of G<inf>1</inf> cyclin-dependent kinases in the mammalian cell cycle,2000,Current Opinion in Cell Biology,479,10.1016/S0955-0674(00)00151-4,Sweden,Review,Stockholm,0,Journal,2-s2.0-0033711708
