Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Kjøller L.,,Rac mediates cytoskeletal rearrangements and increased cell motility induced by urokinase-type plasminogen activator receptor binding to vitronectin,2001,Journal of Cell Biology,162,10.1083/jcb.152.6.1145,United Kingdom,Article,London,1,Journal,2-s2.0-0035911966
Felding-Habermann B.,,Integrin activation controls metastasis in human breast cancer,2001,Proceedings of the National Academy of Sciences of the United States of America,432,10.1073/pnas.98.4.1853,United States,Article,San Diego,1,Journal,2-s2.0-0035852648
Yi M.,,"A fibronectin fragment inhibits tumor growth, angiogenesis, and metastasis",2001,Proceedings of the National Academy of Sciences of the United States of America,181,10.1073/pnas.98.2.620,United States,Article,San Diego CA,1,Journal,2-s2.0-0035895247
Markert J.M.,,Differential gene expression profiling in human brain tumors,2001,Physiological Genomics,182,10.1152/physiolgenomics.2001.5.1.21,United States,Article,Birmingham,0,Journal,2-s2.0-0346410282
Huang H.,,Gene expression profiling of low-grade diffuse astrocytomas by cDNA arrays,2000,Cancer Research,174,,France,Article,Lyon,0,Journal,2-s2.0-0034671669
Sieg D.,,FAK integrates growth-factor and integrin signals to promote cell migration,2000,Nature Cell Biology,997,10.1038/35010517,United States,Article,San Diego,0,Journal,2-s2.0-0033772308
Herms J.,,C-MYC expression in medulloblastoma and its prognostic value,2000,International Journal of Cancer,147,10.1002/1097-0215(20000920)89:5<395::AID-IJC1>3.0.CO;2-V,Germany;Germany,Article,Gottingen;Munich,1,Journal,2-s2.0-0033801873
Clark E.,,Genomic analysis of metastasis reveals an essential role for RhoC,2000,Nature,1260,10.1038/35020106,United States;United States,Article,Chevy Chase;Cambridge (ex Galt),0,Journal,2-s2.0-0034601487
Bittner M.,,Molecular classification of cutaneous malignant melanoma by gene expression profiling,2000,Nature,1629,10.1038/35020115,United States,Article,Bethesda,0,Journal,2-s2.0-0034601455
Yu J.,,Platelet-derived growth factor (PDGF) receptor-α activates c-Jun NH<inf>2</inf>- terminal kinase-1 and antagonizes PDGF receptor-β-induced phenotypic transformation,2000,Journal of Biological Chemistry,57,10.1074/jbc.M910329199,United States,Article,Detroit,1,Journal,2-s2.0-0034705427
Sunshine C.,,Rab3B regulates ZO-1 targeting and actin organization in PC12 neuroendocrine cells,2000,Experimental Cell Research,12,10.1006/excr.2000.4855,United States,Article,Birmingham,0,Journal,2-s2.0-0034713369
