Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Travers K.J.,,Functional and genomic analyses reveal an essential coordination between the unfolded protein response and ER-associated degradation,2000,Cell,1444,10.1016/S0092-8674(00)80835-1,United States,Article,San Francisco,1,Journal,2-s2.0-0034724520
Rep M.,,The transcriptional response of Saccharomyces cerevisiae to osmotic shock. Hot1p and Msn2p/Msn4p are required for the induction of subsets of high osmolarity glycerol pathway-dependent genes,2000,Journal of Biological Chemistry,419,10.1074/jbc.275.12.8290,Belgium;Netherlands,Article,3000 Leuven;Amsterdam,1,Journal,2-s2.0-0034708436
Hughes J.D.,,Computational identification of Cis-regulatory elements associated with groups of functionally related genes in Saccharomyces cerevisiae,2000,Journal of Molecular Biology,785,10.1006/jmbi.2000.3519,United States;United States,Article,Cambridge;Boston,0,Journal,2-s2.0-0034628901
Ball C.A.,,Integrating functional genomic information into the Saccharomyces Genome Database,2000,Nucleic Acids Research,77,10.1093/nar/28.1.77,United States,Article,Stanford,1,Journal,2-s2.0-0033957561
Hardie D.,,Roles of the AMP-activated/SNF1 protein kinase family in the response to cellular stress,1999,Biochemical Society Symposium,81,,United Kingdom,Article,Dundee,0,Book Series,2-s2.0-0032619525
Warner J.,,The economics of ribosome biosynthesis in yeast,1999,Trends in Biochemical Sciences,1185,10.1016/S0968-0004(99)01460-7,United States,Review,New York,0,Journal,2-s2.0-0033229970
Nierras C.R.,,Protein kinase C enables the regulatory circuit that connects membrane synthesis to ribosome synthesis in Saccharomyces cerevisiae,1999,Journal of Biological Chemistry,76,10.1074/jbc.274.19.13235,United States;United States,Article,New York;New York,1,Journal,2-s2.0-0033532045
Parrou J.L.,,Dynamic responses of reserve carbohydrate metabolism under carbon and nitrogen limitations in Saccharomyces cerevisiae,1999,Yeast,127,10.1002/(SICI)1097-0061(199902)15:3<191::AID-YEA358>3.0.CO;2-O,France,Article,Toulouse,1,Journal,2-s2.0-0032964932
Li B.,,Transcriptional elements involved in the repression of ribosomal protein synthesis,1999,Molecular and Cellular Biology,94,10.1128/MCB.19.8.5393,United States;United States,Article,New York;New York,1,Journal,2-s2.0-0032788547
Rep M.,,Osmotic stress-induced gene expression in Saccharomyces cerevisiae requires Msn1p and the novel nuclear factor Hot1p,1999,Molecular and Cellular Biology,211,10.1128/MCB.19.8.5474,Belgium,Article,3000 Leuven,1,Journal,2-s2.0-0032814143
