Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Du J.,,"Two FSHR variants, haplotypes and meta-analysis in Chinese women with premature ovarian failure and polycystic ovary syndrome",2010,Molecular Genetics and Metabolism,49,10.1016/j.ymgme.2010.03.018,China,Article,Shanghai,0,Journal,2-s2.0-77953019731
Petukhova L.,,Genome-wide association study in alopecia areata implicates both innate and adaptive immunity,2010,Nature,408,10.1038/nature09114,United States,Article,New York,0,Journal,2-s2.0-77954223152
Xu S.,,Genomic Dissection of Population Substructure of Han Chinese and Its Implication in Association Studies,2009,American Journal of Human Genetics,233,10.1016/j.ajhg.2009.10.015,China;China,Article,Shanghai;Beijing,1,Journal,2-s2.0-71449083275
Carmina E.,,Cardiovascular risk and events in polycystic ovary syndrome,2009,Climacteric,52,10.1080/13697130903003842,Italy,Article,Palermo,0,Journal,2-s2.0-73949135129
Hu C.,,"PPARG, KCNJ11, CDKAL1, CDKN2A-CDKN2B, IDE-KIF11- HHEX, IGF2BP2 and SLC30A8 are associated with type 2 diabetes in a chinese population",2009,PLoS ONE,129,10.1371/journal.pone.0007643,China;China;China,Article,Shanghai;Shanghai;Shanghai,1,Journal,2-s2.0-70449433016
Espinós-Gómez J.J.,,Prevalence and predictors of abnormal glucose metabolism in Mediterranean women with polycystic ovary syndrome,2009,Gynecological Endocrinology,20,10.1080/09513590802585597,Spain;Spain,Article,Barcelona;Barcelona,0,Journal,2-s2.0-67651238317
Yi P.,,PCR/LDR/capillary electrophoresis for detection of single-nucleotide differences between fetal and maternal DNA in maternal plasma,2009,Prenatal Diagnosis,55,10.1002/pd.2072,China,Article,Chongqing,0,Journal,2-s2.0-61449225648
Kandaraki E.,,Metabolic syndrome and polycystic ovary syndrome... and vice versa,2009,Arquivos Brasileiros de Endocrinologia e Metabologia,40,10.1590/S0004-27302009000200014,United Kingdom,Review,York,1,Journal,2-s2.0-67649391064
Valkenburg O.,,Genetic polymorphisms of GnRH and gonadotrophic hormone receptors affect the phenotype of polycystic ovary syndrome,2009,Human Reproduction,72,10.1093/humrep/dep113,Netherlands,Article,Rotterdam,1,Journal,2-s2.0-67651083560
Kulshreshtha B.,,"Insulin response to oral glucose in healthy, lean young women and patients with polycystic ovary syndrome",2008,Gynecological Endocrinology,24,10.1080/09513590802342858,India,Article,New Delhi,0,Journal,2-s2.0-56749104063
Shi Y.,,Clinical and metabolic characteristics of polycystic ovary syndrome without polycystic ovary: a pilot study on Chinese women,2008,Fertility and Sterility,12,10.1016/j.fertnstert.2007.07.1375,China,Article,Jinan,0,Journal,2-s2.0-52949146816
Korn J.,,"Integrated genotype calling and association analysis of SNPs, common copy number polymorphisms and rare CNVs",2008,Nature Genetics,591,10.1038/ng.237,United States;United States;United States;United States,Article,Cambridge;Boston;Cambridge;Cambridge,0,Journal,2-s2.0-52949085789
Zeggini E.,,Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes,2008,Nature Genetics,1389,10.1038/ng.120,United Kingdom,Article,Oxford,0,Journal,2-s2.0-42349106044
Shi Y.,,Analysis of clinical characteristics in large-scale Chinese women with polycystic ovary syndrome,2007,Neuroendocrinology Letters,35,,China,Article,Jinan,0,Journal,2-s2.0-37849036611
Saxena R.,,Genome-wide association analysis identifies loci for type 2 diabetes and triglyceride levels,2007,Science,2024,10.1126/science.1142358,United States;United States;United States,Article,Boston;Cambridge;Boston,0,Journal,2-s2.0-34249888775
Olszanecka-Glinianowicz M.,,Is the polycystic ovary syndrome associated with chronic inflammation per se?,2007,European Journal of Obstetrics and Gynecology and Reproductive Biology,46,10.1016/j.ejogrb.2006.10.037,Poland,Article,Katowice,0,Journal,2-s2.0-34447520579
Drieschner N.,,Evidence for a 3p25 breakpoint hot spot region in thyroid tumors of follicular origin,2006,Thyroid,17,10.1089/thy.2006.16.1091,Germany,Article,Bremen,0,Journal,2-s2.0-33845249747
Price A.,,Principal components analysis corrects for stratification in genome-wide association studies,2006,Nature Genetics,5676,10.1038/ng1847,United States;United States,Article,Boston;Cambridge,0,Journal,2-s2.0-33746512512
Wang Y.,,A microsatellite polymorphism (tttta)n in the promoter of the CYP11a gene in Chinese women with polycystic ovary syndrome,2006,Fertility and Sterility,31,10.1016/j.fertnstert.2005.12.037,China;China,Article,Nanjing;Harbin,0,Journal,2-s2.0-33745501749
