Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Jiang Q.,,Prioritization of disease microRNAs through a human phenome-microRNAome network,2010,BMC Systems Biology,203,10.1186/1752-0509-4-S1-S2,China,Article,Harbin,1,Journal,2-s2.0-77953888015
Weinberg M.,,Short non-coding RNA biology and neurodegenerative disorders: Novel disease targets and therapeutics,2009,Human Molecular Genetics,61,10.1093/hmg/ddp070,South Africa,Review,Johannesburg,1,Journal,2-s2.0-63149148210
Duisters R.,,MiR-133 and miR-30 Regulate connective tissue growth factor: Implications for a role of micrornas in myocardial matrix remodeling,2009,Circulation Research,607,10.1161/CIRCRESAHA.108.182535,Netherlands,Article,Maastricht,1,Journal,2-s2.0-59849128881
Jiang Q.,,miR2Disease: A manually curated database for microRNA deregulation in human disease,2009,Nucleic Acids Research,883,10.1093/nar/gkn714,China,Article,Harbin,1,Journal,2-s2.0-58149179989
Packer A.N.,,The bifunctional microRNA miR-9/miR-9* regulates REST and CoREST and is downregulated in Huntington's disease,2008,Journal of Neuroscience,482,10.1523/JNEUROSCI.2390-08.2008,United States,Article,Iowa City,1,Journal,2-s2.0-58149375393
Slack F.,,MicroRNA in cancer prognosis,2008,New England Journal of Medicine,156,10.1056/NEJMe0808667,United States,Editorial,New Haven,0,Journal,2-s2.0-58049196616
Georges S.,,"Coordinated regulation of cell cycle transcripts by p53-inducible microRNAs, miR-192 and miR-215",2008,Cancer Research,271,10.1158/0008-5472.CAN-08-1846,United States,Article,Seattle,1,Journal,2-s2.0-57749116172
Miller T.,,MicroRNA-221/222 confers tamoxifen resistance in breast cancer by targeting p27<sup>Kip1</sup>,2008,Journal of Biological Chemistry,607,10.1074/jbc.M804612200,United States,Article,Johnson,1,Journal,2-s2.0-56449092072
Lu M.,,An analysis of human microRNA and disease associations,2008,PLoS ONE,630,10.1371/journal.pone.0003420,China;China,Article,Beijing;Beijing,1,Journal,2-s2.0-54849408182
Markou A.,,Prognostic value of mature MicroRNA-21 and MicroRNA-205 overexpression in non-small cell lung cancer by quantitative real-time RT-PCR,2008,Clinical Chemistry,367,10.1373/clinchem.2007.101741,Greece,Article,Athens,1,Journal,2-s2.0-54049115558
Wu X.,,Network-based global inference of human disease genes,2008,Molecular Systems Biology,483,10.1038/msb.2008.27,China,Article,Beijing,1,Journal,2-s2.0-43249114206
Ala U.,,Prediction of human disease genes by human-mouse conserved coexpression analysis,2008,PLoS Computational Biology,92,10.1371/journal.pcbi.1000043,Italy,Article,Turin,1,Journal,2-s2.0-41849139980
Ma L.,,Tumour invasion and metastasis initiated by microRNA-10b in breast cancer,2007,Nature,2018,10.1038/nature06174,United States,Article,Cambridge,0,Journal,2-s2.0-35148886434
Kertesz M.,,The role of site accessibility in microRNA target recognition,2007,Nature Genetics,1631,10.1038/ng2135,Israel,Article,Rehovot,0,Journal,2-s2.0-34748821761
Lage K.,,A human phenome-interactome network of protein complexes implicated in genetic disorders,2007,Nature Biotechnology,700,10.1038/nbt1295,Denmark,Article,Lyngby,0,Journal,2-s2.0-33947095027
Calin G.,,MicroRNA signatures in human cancers,2006,Nature Reviews Cancer,5856,10.1038/nrc1997,United States,Review,Columbus,0,Journal,2-s2.0-33750370444
Kim S.,,miTarget: MicroRNA target gene prediction using a support vector machine,2006,BMC Bioinformatics,165,10.1186/1471-2105-7-411,South Korea,Article,Seoul,1,Journal,2-s2.0-33749645474
Qi Y.,,Evaluation of different biological data and computational classification methods for use in protein interaction prediction,2006,"Proteins: Structure, Function and Genetics",239,10.1002/prot.20865,United States,Article,Pittsburgh,0,Journal,2-s2.0-33646018046
van Driel M.,,A text-mining analysis of the human phenome,2006,European Journal of Human Genetics,420,10.1038/sj.ejhg.5201585,Netherlands,Article,Nijmegen,1,Journal,2-s2.0-33646058032
Xue C.,,Classification of real and pseudo microRNA precursors using local structure-sequence features and support vector machine,2005,BMC Bioinformatics,349,10.1186/1471-2105-6-310,China;China,Article,Beijing;Beijing,1,Journal,2-s2.0-30344447264
Ben-Hur A.,,Kernel methods for predicting protein-protein interactions,2005,Bioinformatics,384,10.1093/bioinformatics/bti1016,United States,Article,Seattle,1,Journal,2-s2.0-24744435534
Miska E.,,"How microRNAs control cell division, differentiation and death",2005,Current Opinion in Genetics and Development,622,10.1016/j.gde.2005.08.005,United Kingdom,Review,Cambridge,0,Journal,2-s2.0-24344494340
Hamosh A.,,"Online Mendelian Inheritance in Man (OMIM), a knowledgebase of human genes and genetic disorders",2005,Nucleic Acids Research,1530,10.1093/nar/gki033,,Article,,1,Journal,2-s2.0-13444266370
Bartel D.,,"MicroRNAs: Genomics, Biogenesis, Mechanism, and Function",2004,Cell,25016,10.1016/S0092-8674(04)00045-5,United States;United States,Review,Cambridge;Cambridge,1,Journal,2-s2.0-0347444723
Lewis B.,,Prediction of Mammalian MicroRNA Targets,2003,Cell,3786,10.1016/S0092-8674(03)01018-3,United States,Article,Cambridge,1,Journal,2-s2.0-0346094457
Gordon L.,,Sequence alignment kernel for recognition of promoter regions,2003,Bioinformatics,92,10.1093/bioinformatics/btg265,United Kingdom,Article,Egham,1,Journal,2-s2.0-0142241306
