Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Zhang P.,,Improving the recommender algorithms with the detected communities in bipartite networks,2017,Physica A: Statistical Mechanics and its Applications,7,10.1016/j.physa.2016.11.076,China,Article,Beijing,0,Journal,2-s2.0-85007311971
Sun P.,,Complete graph model for community detection,2017,Physica A: Statistical Mechanics and its Applications,11,10.1016/j.physa.2016.12.014,China,Article,Xi'an,0,Journal,2-s2.0-85008698712
He J.,,Efficient stepwise detection of communities in temporal networks,2017,Physica A: Statistical Mechanics and its Applications,10,10.1016/j.physa.2016.11.019,China,Article,Chengdu,0,Journal,2-s2.0-85000634266
Chen J.,,Community detection in signed networks based on discrete-time model,2017,Chinese Physics B,14,10.1088/1674-1056/26/1/018901,China,Article,Hohhot,0,Journal,2-s2.0-85013231220
Botta F.,,Finding network communities using modularity density,2016,Journal of Statistical Mechanics: Theory and Experiment,13,10.1088/1742-5468/2016/12/123402,United Kingdom,Article,Coventry,0,Journal,2-s2.0-85008227516
You T.,,Community detection in complex networks using density-based clustering algorithm and manifold learning,2016,Physica A: Statistical Mechanics and its Applications,34,10.1016/j.physa.2016.07.025,China,Article,Beijing,0,Journal,2-s2.0-84983397497
Xiang J.,,Linear analysis of degree correlations in complex networks,2016,Pramana - Journal of Physics,3,10.1007/s12043-016-1290-y,China,Article,Changsha,0,Journal,2-s2.0-85007358070
Liu X.,,Identification of multi-attribute functional urban areas under a perspective of community detection: A case study,2016,Physica A: Statistical Mechanics and its Applications,5,10.1016/j.physa.2016.06.106,China,Article,Tianjin,0,Journal,2-s2.0-84978796171
Cao J.,,Weighted modularity optimization for crisp and fuzzy community detection in large-scale networks,2016,Physica A: Statistical Mechanics and its Applications,35,10.1016/j.physa.2016.06.113,China,Article,Nanjing,0,Journal,2-s2.0-84978969910
Fortunato S.,,Community detection in networks: A user guide,2016,Physics Reports,616,10.1016/j.physrep.2016.09.002,Finland;United States,Review,Espoo;Bloomington,0,Journal,2-s2.0-84994116584
He D.,,A model framework for the enhancement of community detection in complex networks,2016,Physica A: Statistical Mechanics and its Applications,11,10.1016/j.physa.2016.06.033,China,Article,Tianjin,0,Journal,2-s2.0-84975880657
Ma J.,,Traffic dynamics on two-layer complex networks with limited delivering capacity,2016,Physica A: Statistical Mechanics and its Applications,38,10.1016/j.physa.2016.03.092,China,Article,Harbin,0,Journal,2-s2.0-84963668242
Shang R.,,A multiobjective evolutionary algorithm to find community structures based on affinity propagation,2016,Physica A: Statistical Mechanics and its Applications,38,10.1016/j.physa.2016.02.020,China,Article,Xi'an,0,Journal,2-s2.0-84960130476
Xin Y.,,The adaptive dynamic community detection algorithm based on the non-homogeneous random walking,2016,Physica A: Statistical Mechanics and its Applications,20,10.1016/j.physa.2016.01.025,China,Article,Harbin,0,Journal,2-s2.0-84959450591
Lai D.,,Correlation enhanced modularity-based belief propagation method for community detection in networks,2016,Journal of Statistical Mechanics: Theory and Experiment,7,10.1088/1742-5468/2016/05/053301,China,Article,Nanjing,0,Journal,2-s2.0-84969964196
Ma J.,,Improved efficient routing strategy on two-layer complex networks,2016,International Journal of Modern Physics C,17,10.1142/S0129183116500443,China,Article,Harbin,0,Journal,2-s2.0-84959351714
Chen J.,,A dynamic evolutionary clustering perspective: Community detection in signed networks by reconstructing neighbor sets,2016,Physica A: Statistical Mechanics and its Applications,29,10.1016/j.physa.2015.12.006,China,Article,Hohhot,0,Journal,2-s2.0-84953898287
Xiang J.,,Enhancing community detection by using local structural information,2016,Journal of Statistical Mechanics: Theory and Experiment,13,10.1088/1742-5468/2016/03/033405,China,Article,Changsha,0,Journal,2-s2.0-84988697931
Cheng J.,,A divisive spectral method for network community detection,2016,Journal of Statistical Mechanics: Theory and Experiment,21,10.1088/1742-5468/2016/03/033403,China,Article,Lanzhou,0,Journal,2-s2.0-84962393681
Nicolini C.,,Modular structure of brain functional networks: Breaking the resolution limit by Surprise,2016,Scientific Reports,39,10.1038/srep19250,Italy;Italy,Article,Verona;Rovereto,1,Journal,2-s2.0-84954536031
Xiang J.,,Local modularity for community detection in complex networks,2015,Physica A: Statistical Mechanics and its Applications,39,10.1016/j.physa.2015.09.093,China,Article,Changsha,0,Journal,2-s2.0-84944735909
Wu J.,,Density shrinking algorithm for community detection with path based similarity,2015,Physica A: Statistical Mechanics and its Applications,18,10.1016/j.physa.2015.03.044,China;United States,Article,Xi'an;New Orleans,0,Journal,2-s2.0-84928480896
Traag V.A.,,Detecting communities using asymptotical surprise,2015,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",33,10.1103/PhysRevE.92.022816,Netherlands,Article,Amsterdam,0,Journal,2-s2.0-84940824191
Xiang J.,,Multi-resolution community detection based on generalized self-loop rescaling strategy,2015,Physica A: Statistical Mechanics and its Applications,22,10.1016/j.physa.2015.03.006,China,Article,Changsha,0,Journal,2-s2.0-84926490499
Xiang J.,,Analysis and perturbation of degree correlation in complex networks,2015,EPL,11,10.1209/0295-5075/111/48003,China,Article,Changsha,0,Journal,2-s2.0-84941584646
Eustace J.,,Community detection using local neighborhood in complex networks,2015,Physica A: Statistical Mechanics and its Applications,47,10.1016/j.physa.2015.05.044,China,Article,Dalian,0,Journal,2-s2.0-84930624967
Xiang J.,,Analysis of community-detection methods based on Potts spin model in complex networks,2015,Canadian Journal of Physics,6,10.1139/cjp-2013-0652,China,Article,Changsha,0,Journal,2-s2.0-84926459794
Li H.J.,,Social significance of community structure: Statistical view,2015,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",100,10.1103/PhysRevE.91.012801,China;China,Article,Beijing;Beijing,0,Journal,2-s2.0-84929477017
Li H.,,A novel dynamics combination model reveals the hidden information of community structure,2015,International Journal of Modern Physics C,8,10.1142/S0129183115500436,China;China,Article,Beijing;Beijing,0,Journal,2-s2.0-84928380904
Li H.,,Measuring robustness of community structure in complex networks,2014,EPL,49,10.1209/0295-5075/108/68009,China,Article,Beijing,0,Journal,2-s2.0-84924533959
Lin G.,,Cascading failures in complex networks with community structure,2014,International Journal of Modern Physics C,11,10.1142/S0129183114400051,China,Article,Beijing,0,Journal,2-s2.0-84896319673
Hu Z.,,Effects of multiple spreaders in community networks,2014,International Journal of Modern Physics C,11,10.1142/S0129183114400130,China,Article,Shanghai,0,Journal,2-s2.0-84896314449
Jiang Y.,,An efficient community detection algorithm using greedy surprise maximization,2014,Journal of Physics A: Mathematical and Theoretical,12,10.1088/1751-8113/47/16/165101,China,Article,Beijing,0,Journal,2-s2.0-84926471855
Liang Z.W.,,Detecting community structure using label propagation with consensus weight in complex network,2014,Chinese Physics B,20,10.1088/1674-1056/23/9/098902,United States;China,Article,Piscataway;Chengdu,0,Journal,2-s2.0-84991018030
Malliaros F.,,Clustering and community detection in directed networks: A survey,2013,Physics Reports,287,10.1016/j.physrep.2013.08.002,France,Review,Palaiseau,0,Journal,2-s2.0-84888062097
Zhang Z.Y.,,Overlapping community detection in complex networks using symmetric binary matrix factorization,2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",66,10.1103/PhysRevE.87.062803,China,Article,Beijing,0,Journal,2-s2.0-84879547571
Aldecoa R.,,Surprise maximization reveals the community structure of complex networks,2013,Scientific Reports,47,10.1038/srep01060,Spain,Article,Valencia,1,Journal,2-s2.0-84872718164
Nadakuditi R.,,Graph spectra and the detectability of community structure in networks,2012,Physical Review Letters,174,10.1103/PhysRevLett.108.188701,United States,Article,Ann Arbor,1,Journal,2-s2.0-84860628853
Decelle A.,,Inference and phase transitions in the detection of modules in sparse networks,2011,Physical Review Letters,205,10.1103/PhysRevLett.107.065701,France,Article,Saint-Aubin,0,Journal,2-s2.0-79961105970
Lancichinetti A.,,Finding statistically significant communities in networks,2011,PLoS ONE,574,10.1371/journal.pone.0018961,Italy;Italy,Article,Turin;Turin,1,Journal,2-s2.0-79955707583
Zhang S.,,Determining modular organization of protein interaction networks by maximizing modularity density,2010,BMC Systems Biology,27,10.1186/1752-0509-4-10,China,Article,Beijing,1,Journal,2-s2.0-77956821019
Ahn Y.,,Link communities reveal multiscale complexity in networks,2010,Nature,1201,10.1038/nature09182,United States;United States,Article,Boston;Cambridge,0,Journal,2-s2.0-77955518815
Lai D.,,Enhanced modularity-based community detection by random walk network preprocessing,2010,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",40,10.1103/PhysRevE.81.066118,China,Article,Shanghai,0,Journal,2-s2.0-77954013583
Ronhovde P.,,Local resolution-limit-free Potts model for community detection,2010,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",123,10.1103/PhysRevE.81.046114,United States,Article,St. Louis,0,Journal,2-s2.0-77951712379
Sun Y.,,Improved community structure detection using a modified fine-tuning strategy,2009,EPL,72,10.1209/0295-5075/86/28004,United States,Article,Houston,0,Journal,2-s2.0-77249099302
Zhang X.,,Modularity optimization in community detection of complex networks,2009,EPL,73,10.1209/0295-5075/87/38002,China,Article,Beijing,0,Journal,2-s2.0-78651330007
Lancichinetti A.,,Detecting the overlapping and hierarchical community structure in complex networks,2009,New Journal of Physics,1197,10.1088/1367-2630/11/3/033015,Italy,Article,Turin,1,Journal,2-s2.0-64549145094
Lancichinetti A.,,Benchmark graphs for testing community detection algorithms,2008,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",1641,10.1103/PhysRevE.78.046110,Italy,Article,Turin,0,Journal,2-s2.0-55849088356
Blondel V.D.,,Fast unfolding of communities in large networks,2008,Journal of Statistical Mechanics: Theory and Experiment,7102,10.1088/1742-5468/2008/10/P10008,Belgium,Article,Louvain-la-Neuve,0,Journal,2-s2.0-56349094785
Arenas A.,,Analysis of the structure of complex networks at different resolution levels,2008,New Journal of Physics,333,10.1088/1367-2630/10/5/053039,Spain;Spain;United States,Article,Tarragona;Zaragoza;Berkeley,1,Journal,2-s2.0-46749146824
Rosvall M.,,Maps of random walks on complex networks reveal community structure,2008,Proceedings of the National Academy of Sciences of the United States of America,2134,10.1073/pnas.0706851105,United States,Article,Seattle,1,Journal,2-s2.0-39549086558
Fortunato S.,,Resolution limit in community detection,2007,Proceedings of the National Academy of Sciences of the United States of America,1725,10.1073/pnas.0605965104,Italy;Germany;United States,Review,Turin;Bielefeld;Bloomington,1,Journal,2-s2.0-33846126275
Reichardt J.,,Statistical mechanics of community detection,2006,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",924,10.1103/PhysRevE.74.016110,Germany,Article,Bremen,0,Journal,2-s2.0-33746227724
Boccaletti S.,,Complex networks: Structure and dynamics,2006,Physics Reports,6606,10.1016/j.physrep.2005.10.009,Italy,Review,Sesto Fiorentino,0,Journal,2-s2.0-31344474880
Pons P.,,Computing communities in large networks using random walks,2006,Journal of Graph Algorithms and Applications,664,10.7155/jgaa.00124,France,Article,Paris,1,Journal,2-s2.0-38849162343
Duch J.,,Community detection in complex networks using extremal optimization,2005,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",1096,10.1103/PhysRevE.72.027104,Spain,Article,Tarragona,0,Journal,2-s2.0-27244441304
Newman M.E.J.,,Finding and evaluating community structure in networks,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",7687,10.1103/PhysRevE.69.026113,United States;United States,Article,Santa Fe;Ann Arbor,0,Journal,2-s2.0-37649028224
Lusseau D.,,The bottlenose dolphin community of doubtful sound features a large proportion of long-lasting associations: Can geographic isolation explain this unique trait?,2003,Behavioral Ecology and Sociobiology,1311,10.1007/s00265-003-0651-y,New Zealand;United Kingdom,Article,Dunedin;Aberdeen,0,Journal,2-s2.0-0042311400
Girvan M.,,Community structure in social and biological networks,2002,Proceedings of the National Academy of Sciences of the United States of America,8662,10.1073/pnas.122653799,United States;United States,Article,Santa Fe;Ithaca,1,Journal,2-s2.0-0037062448
Watts D.J.,,Collective dynamics of 'small-world9 networks,1998,Nature,25779,10.1038/30918,United States,Article,Ithaca,0,Journal,2-s2.0-0032482432
