Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Rasio D.,,Genomic Organization of the ATM Locus Involved in Ataxia-Telangiectasia,1995,Cancer Research,33,,United States,Article,Philadelphia,0,Journal,2-s2.0-0028875516
Rasio D.,,Loss of Heterozygosity at Chromosome 11q in Lung Adenocarcinoma: Identification of Three Independent Regions1,1995,Cancer Research,115,,United States,Article,Philadelphia,0,Journal,2-s2.0-0029124902
Negrini M.,,Definition and Refinement of Chromosome 11 Regions of Loss of Heterozygosity in Breast Cancer: Identification of a New Region at 11q23.3,1995,Cancer Research,153,,United States,Article,Philadelphia,0,Journal,2-s2.0-0029012254
Herbst R.,,A Defined Region of Loss of Heterozygosity at 11q23 in Cutaneous Malignant Melanoma,1995,Cancer Research,70,,United States;Germany,Article,San Diego;Hannover,0,Journal,2-s2.0-0029002574
Winqvist R.,,Loss of Heterozygosity for Chromosome 11 in Primary Human Breast Tumors Is Associated with Poor Survival after Metastasis,1995,Cancer Research,138,,United States;Finland,Article,San Diego;Oulu,0,Journal,2-s2.0-0029055009
Baffa R.,,Involvement of the ALL-1 gene in a solid tumor,1995,Proceedings of the National Academy of Sciences of the United States of America,36,10.1073/pnas.92.11.4922,United States,Article,Philadelphia,1,Journal,2-s2.0-0029006366
Sonoda Y.,,Loss of Heterozygosity at 11p15 in Malignant Glioma,1995,Cancer Research,45,,Japan,Article,Chuo-ku,0,Journal,2-s2.0-0029066736
Tamura G.,,Microsatellite Alterations in Adenoma and Differentiated Adenocarcinoma of the Stomach,1995,Cancer Research,94,,Japan,Article,Morioka,0,Journal,2-s2.0-0028955266
Chong Jai Kim,,Detection of 17p loss in gastric carcinoma using polymerase chain reaction,1995,Laboratory Investigation,12,,South Korea,Article,Seoul,0,Journal,2-s2.0-0028966134
Smith R.,,Frequent Loss of Heterozygosity at 11p Loci in Testicular Cancer,1995,The Journal of Urology,20,10.1016/S0022-5347(01)67504-9,United States,Article,Chicago,0,Journal,2-s2.0-0028924472
Schneider B.,,Allelic imbalance in gastric cancer: An affected site on chromosome arm 3p,1995,"Genes, Chromosomes and Cancer",65,10.1002/gcc.2870130406,United States,Article,San Antonio,0,Journal,2-s2.0-0029088784
Keller G.,,Microsatellite instability in adenocarcinomas of the upper gastrointestinal tract: Relation to clinicopathological data and family history,1995,American Journal of Pathology,88,,Germany,Article,Munich,0,Journal,2-s2.0-0029156945
Shaw M.E.,,Deletion mapping of chromosome II in carcinoma of the bladder,1995,"Genes, Chromosomes and Cancer",88,10.1002/gcc.2870130102,United Kingdom,Article,Oxted,0,Journal,2-s2.0-0029056713
Savitsky K.,,A single ataxia telangiectasia gene with a product similar to PI-3 kinase,1995,Science,2195,10.1126/science.7792600,Israel,Article,Ramal Aviv,0,Journal,2-s2.0-0029057336
Albrecht S.,,Loss of Maternal Alleles on Chromosome Arm 11p in Hepatoblastoma,1994,Cancer Research,102,,Germany,Article,Bonn,0,Journal,2-s2.0-0028126475
Hampton G.M.,,Loss of heterozygosity in cervical carcinoma: Subchromosomal localization of a putative tumor-suppressor gene to chromosome 11q22-q24,1994,Proceedings of the National Academy of Sciences of the United States of America,168,10.1073/pnas.91.15.6953,United States;United States,Article,San Diego;San Diego,1,Journal,2-s2.0-0028365264
Bepler G.,,Three tumor-suppressor regions on chromosome 11p identified by high- resolution deletion mapping in human non-small-cell lung cancer,1994,Proceedings of the National Academy of Sciences of the United States of America,120,10.1073/pnas.91.12.5513,United States,Article,Durham,1,Journal,2-s2.0-0028276007
Looijenga L.,,"Testicular germ cell tumors of adults show deletions of chromosomal bands 11 p13 and 11p15.5, but no abnormalities within the zinc‐finger regions and exons 2 and 6 of the wilms' Tumor 1 Gene",1994,"Genes, Chromosomes and Cancer",33,10.1002/gcc.2870090302,Netherlands,Article,Rotterdam,0,Journal,2-s2.0-0028329635
Gustafson C.E.,,Loss of heterozygosity on the long arm of chromosome 11 in colorectal tumours,1994,British Journal of Cancer,40,10.1038/bjc.1994.315,Australia,Article,Brisbane,1,Journal,2-s2.0-0028024032
Kuniyasu H.,,Frequent loss of heterozygosity of the long arm of chromosome 7 is closely associated with progression of human gastric carcinomas,1994,International Journal of Cancer,73,10.1002/ijc.2910590504,Japan,Article,Hiroshima,0,Journal,2-s2.0-0028037032
Boring C.,,"Cancer statistics, 1994",1994,CA: A Cancer Journal for Clinicians,1463,10.3322/canjclin.44.1.7,,Article,,0,Journal,2-s2.0-0028127687
Ranzani G.N.,,Loss of heterozygosity and K-ras gene mutations in gastric cancer,1993,Human Genetics,55,10.1007/BF00244466,Italy,Article,Pavia,0,Journal,2-s2.0-0027363410
Foulkes W.,,Loss of heterozygosity and amplification on chromosome 11q in human ovarian cancer,1993,British Journal of Cancer,115,10.1038/bjc.1993.51,United Kingdom,Article,London,1,Journal,2-s2.0-0027477595
Viel A.,,Chromosomal localisation of two putative lip oncosuppressor genes involved in human ovarian tumours,1992,British Journal of Cancer,52,10.1038/bjc.1992.405,Italy,Article,Aviano,1,Journal,2-s2.0-0027104205
Uchino S.,,Frequent Loss of Heterozygosity at the DCC Locus in Gastric Cancer,1992,Cancer Research,202,,Japan;Japan,Article,Oita;Chuo-ku,0,Journal,2-s2.0-0026642513
Swift M.,,Incidence of cancer in 161 families affected by Ataxia–Telangiectasia,1991,New England Journal of Medicine,750,10.1056/NEJM199112263252602,United States,Article,Chapel Hill,0,Journal,2-s2.0-0026409331
