Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Muthukaruppan A.,,Multimodal Assessment of Estrogen Receptor mRNA Profiles to Quantify Estrogen Pathway Activity in Breast Tumors,2017,Clinical Breast Cancer,2,10.1016/j.clbc.2016.09.001,New Zealand,Article,Auckland,1,Journal,2-s2.0-85002410893
Shim J.,,From sequencing data to gene functions: co-functional network approaches,2017,Animal Cells and Systems,13,10.1080/19768354.2017.1284156,South Korea,Review,Seoul,1,Journal,2-s2.0-85017559617
Kim E.,,MouseNet v2: A database of gene networks for studying the laboratory mouse and eight other model vertebrates,2016,Nucleic Acids Research,21,10.1093/nar/gkv1155,South Korea,Article,Seoul,1,Journal,2-s2.0-84976870544
Agarwala R.,,Database resources of the National Center for Biotechnology Information,2016,Nucleic Acids Research,567,10.1093/nar/gkv1290,United States,Article,Bethesda,1,Journal,2-s2.0-84976897928
Han H.,,TRRUST: A reference database of human transcriptional regulatory interactions,2015,Scientific Reports,138,10.1038/srep11432,South Korea,Article,Seoul,1,Journal,2-s2.0-84931275487
Rousseau B.,,TP53 transcription factor for the NEDD9/HEF1/Cas-L gene: Potential targets in Non-Small Cell Lung Cancer treatment,2015,Scientific Reports,7,10.1038/srep10356,France,Article,Nantes,1,Journal,2-s2.0-84930226004
Stergachis A.B.,,Conservation of trans-acting circuitry during mammalian regulatory evolution,2014,Nature,131,10.1038/nature13972,United States,Article,Seattle,1,Journal,2-s2.0-84911470871
Farrell C.M.,,Current status and new features of the Consensus Coding Sequence database,2014,Nucleic Acids Research,100,10.1093/nar/gkt1059,United States,Review,Bethesda,1,Journal,2-s2.0-84891777450
Barrett T.,,NCBI GEO: Archive for functional genomics data sets - Update,2013,Nucleic Acids Research,2786,10.1093/nar/gks1193,United States,Article,Bethesda,1,Journal,2-s2.0-84874271270
Chou Y.T.,,CITED2 functions as a molecular switch of cytokine-induced proliferation and quiescence,2012,Cell Death and Differentiation,35,10.1038/cdd.2012.91,Taiwan,Article,Taipei,1,Journal,2-s2.0-84869080777
Yusuf D.,,The transcription factor encyclopedia.,2012,Genome biology,65,,Canada,Article,Vancouver,0,Journal,2-s2.0-84858964585
Lee I.,,Prioritizing candidate disease genes by network-based boosting of genome-wide association data,2011,Genome Research,424,10.1101/gr.118992.110,South Korea,Article,Seoul,1,Journal,2-s2.0-79959898376
Mogi A.,,TP53 mutations in nonsmall cell lung cancer,2011,Journal of Biomedicine and Biotechnology,127,10.1155/2011/583929,Japan,Review,Maebashi,1,Journal,2-s2.0-79952209189
Essaghir A.,,Transcription factor regulation can be accurately predicted from the presence of target gene signatures in microarray gene expression data,2010,Nucleic Acids Research,126,10.1093/nar/gkq149,Belgium,Article,Brussels,1,Journal,2-s2.0-77954364953
Ravasi T.,,An Atlas of Combinatorial Transcriptional Regulation in Mouse and Man,2010,Cell,480,10.1016/j.cell.2010.01.044,,Article,,1,Journal,2-s2.0-77649299348
Razick S.,,iRefIndex: A consolidated protein interaction database with provenance,2008,BMC Bioinformatics,339,10.1186/1471-2105-9-405,Norway,Article,Oslo,1,Journal,2-s2.0-54949127160
Huang C.,,E2F1 overexpression correlates with thymidylate synthase and survivin gene expressions and tumor proliferation in non-small-cell lung cancer,2007,Clinical Cancer Research,75,10.1158/1078-0432.CCR-07-1539,Japan,Article,Takamatsu,1,Journal,2-s2.0-37249080638
Portales-Casamar E.,,PAZAR: A framework for collection and dissemination of cis-regulatory sequence annotation,2007,Genome Biology,69,10.1186/gb-2007-8-10-r207,Canada,Article,Vancouver,1,Journal,2-s2.0-38549169054
Cooper C.S.,,Nuclear overexpression of the E2F3 transcription factor in human lung cancer,2006,Lung Cancer,72,10.1016/j.lungcan.2006.07.005,United Kingdom,Article,London,0,Journal,2-s2.0-33751120208
Zhao F.,,TRED: A Transcriptional Regulatory Element Database and a platform for in silico gene regulation studies,2005,Nucleic Acids Research,153,10.1093/nar/gki004,United States,Article,Cold Spring Harbor,1,Journal,2-s2.0-13444305306
Yamasaki L.,,Tumor induction and tissue atrophy in mice lacking E2F-1,1996,Cell,621,10.1016/S0092-8674(00)81254-4,United States,Article,Boston,1,Journal,2-s2.0-0029888359
