Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Miettinen M.,,Succinate dehydrogenase deficient gastrointestinal stromal tumors (GISTs) - A review,2014,International Journal of Biochemistry and Cell Biology,81,10.1016/j.biocel.2014.05.033,United States,Review,Bethesda,0,Journal,2-s2.0-84905034288
Kang G.,,Gastrointestinal stromal tumors in children and young adults: A clinicopathologic and molecular genetic study of 22 Korean cases,2013,APMIS,12,10.1111/apm.12085,South Korea;South Korea,Article,Suwon;Gimhae,0,Journal,2-s2.0-84884719647
Gu M.,,Clinical significance of insulin-growth factor 1 and insulin-growth factor 1 receptor expression in gastrointestinal stromal tumors,2013,Hepato-Gastroenterology,6,10.5754/hge13102,South Korea,Article,Gyeongsan,0,Journal,2-s2.0-84885693307
Kelly L.,,Post-Transcriptional Dysregulation by miRNAs Is Implicated in the Pathogenesis of Gastrointestinal Stromal Tumor [GIST],2013,PLoS ONE,31,10.1371/journal.pone.0064102,Ireland;Ireland,Article,Dublin;Dublin,1,Journal,2-s2.0-84878144906
Celestino R.,,Molecular alterations and expression of succinate dehydrogenase complex in wild-type kit/pdgfra/braf gastrointestinal stromal tumors,2013,European Journal of Human Genetics,13,10.1038/ejhg.2012.205,Portugal,Article,Porto,0,Journal,2-s2.0-84876668234
Hoekstra A.,,The role of complex II in disease,2013,Biochimica et Biophysica Acta - Bioenergetics,69,10.1016/j.bbabio.2012.11.005,Netherlands,Article,Leiden,1,Journal,2-s2.0-84875703869
Wagner A.J.,,Loss of expression of SDHA predicts SDHA mutations in gastrointestinal stromal tumors,2013,Modern Pathology,86,10.1038/modpathol.2012.153,United States,Article,Boston,1,Journal,2-s2.0-84873413449
Miettinen M.,,Immunohistochemical loss of succinate dehydrogenase subunit a (SDHA) in gastrointestinal stromal tumors (GISTs) signals SDHA germline mutation,2013,American Journal of Surgical Pathology,119,10.1097/PAS.0b013e3182671178,United States,Article,Bethesda,0,Journal,2-s2.0-84872864140
Nannini M.,,Expression of IGF-1 receptor in KIT/PDGF receptor-α wild-type gastrointestinal stromal tumors with succinate dehydrogenase complex dysfunction,2013,Future Oncology,21,10.2217/fon.12.170,Italy,Article,Bologna,0,Journal,2-s2.0-84871412667
Lasota J.,,Expression of the receptor for type i insulin-like growth factor (IGF1R) in gastrointestinal stromal tumors: An immunohistochemical study of 1078 cases with diagnostic and therapeutic implications,2013,American Journal of Surgical Pathology,63,10.1097/PAS.0b013e3182613c86,United States,Article,Bethesda,0,Journal,2-s2.0-84871618647
