Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Sharkey K.J.,,Exact Equations for SIR Epidemics on Tree Graphs,2015,Bulletin of Mathematical Biology,20,10.1007/s11538-013-9923-5,United Kingdom,Article,Liverpool,1,Journal,2-s2.0-84891774507
Lofgren E.T.,,Opinion: Mathematical models: a key tool for outbreak response,2014,Proceedings of the National Academy of Sciences of the United States of America,44,10.1073/pnas.1421551111,United States,Note,Blacksburg,1,Journal,2-s2.0-84919884444
Janson S.,,Law of large numbers for the SIR epidemic on a random graph with given degrees,2014,Random Structures and Algorithms,33,10.1002/rsa.20575,Sweden,Article,Uppsala,0,Journal,2-s2.0-84918593893
Hamilton K.,,Tight lower bound for percolation threshold on an infinite graph,2014,Physical Review Letters,39,10.1103/PhysRevLett.113.208701,United States,Article,Riverside,0,Journal,2-s2.0-84910650245
Martin T.,,Localization and centrality in networks,2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",117,10.1103/PhysRevE.90.052808,United States,Article,Ann Arbor,0,Journal,2-s2.0-84912572339
Karrer B.,,Percolation on sparse networks,2014,Physical Review Letters,117,10.1103/PhysRevLett.113.208702,United States,Article,Ann Arbor,0,Journal,2-s2.0-84910612910
Boguñá M.,,Simulating non-Markovian stochastic processes,2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",39,10.1103/PhysRevE.90.042108,Spain,Article,Barcelona,0,Journal,2-s2.0-84907835173
Bonaccorsi S.,,Epidemic outbreaks in two-scale community networks,2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",22,10.1103/PhysRevE.90.012810,Italy,Article,Trento,0,Journal,2-s2.0-84905453181
Lokhov A.Y.,,Inferring the origin of an epidemic with a dynamic message-passing algorithm,2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",124,10.1103/PhysRevE.90.012801,France,Article,Orsay,0,Journal,2-s2.0-84904208881
Van De Bovenkamp R.,,Domination-time dynamics in susceptible-infected-susceptible virus competition on networks,2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",10,10.1103/PhysRevE.89.042818,Netherlands,Article,Delft,0,Journal,2-s2.0-84899731833
Garcia-Herranz M.,,Using friends as sensors to detect global-scale contagious outbreaks,2014,PLoS ONE,51,10.1371/journal.pone.0092413,Spain,Article,Madrid,1,Journal,2-s2.0-84899560157
Liu S.,,Controlling contagion processes in activity driven networks,2014,Physical Review Letters,101,10.1103/PhysRevLett.112.118702,China;United States,Article,Hangzhou;Boston,0,Journal,2-s2.0-84897903425
Altarelli F.,,Bayesian inference of epidemics on networks via belief propagation,2014,Physical Review Letters,91,10.1103/PhysRevLett.112.118701,Italy;Italy,Article,Turin;Torino,0,Journal,2-s2.0-84897843090
Starnini M.,,Temporal percolation in activity-driven networks,2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",39,10.1103/PhysRevE.89.032807,Spain,Article,Barcelona,0,Journal,2-s2.0-84927794345
Buono C.,,Epidemics in partially overlapped multiplex networks,2014,PLoS ONE,101,10.1371/journal.pone.0092200,Argentina,Article,Mar de Plata,1,Journal,2-s2.0-84898466996
Wilkinson R.R.,,Message passing and moment closure for susceptible-infected-recovered epidemics on finite networks,2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",20,10.1103/PhysRevE.89.022808,United Kingdom,Article,Liverpool,1,Journal,2-s2.0-84896959297
Kiss I.Z.,,Exact deterministic representation of Markovian SIR epidemics on networks with and without loops,2014,Journal of Mathematical Biology,19,10.1007/s00285-014-0772-0,United Kingdom,Article,Brighton,0,Journal,2-s2.0-84894578403
Jo H.,,Analytically solvable model of spreading dynamics with Non-Poissonian processes,2014,Physical Review X,66,10.1103/PhysRevX.4.011041,Finland,Article,Espoo,1,Journal,2-s2.0-84900327958
Nsoesie E.O.,,A systematic review of studies on forecasting the dynamics of influenza outbreaks,2014,Influenza and other Respiratory Viruses,87,10.1111/irv.12226,United States;United States;United States,Review,Boston;Blacksburg;Boston,1,Journal,2-s2.0-84898044168
Kivelä M.,,Multilayer networks,2014,Journal of Complex Networks,1335,10.1093/comnet/cnu016,United Kingdom,Article,Oxford,1,Journal,2-s2.0-84942256852
Boccaletti S.,,The structure and dynamics of multilayer networks,2014,Physics Reports,1463,10.1016/j.physrep.2014.07.001,Italy,Review,Rome,0,Journal,2-s2.0-84909980102
Li C.,,Epidemic threshold in directed networks,2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",27,10.1103/PhysRevE.88.062802,Netherlands,Article,Delft,0,Journal,2-s2.0-84890482938
Starnini M.,,Immunization strategies for epidemic processes in time-varying contact networks,2013,Journal of Theoretical Biology,52,10.1016/j.jtbi.2013.07.004,Spain,Article,Barcelona,0,Journal,2-s2.0-84883690910
Cozzo E.,,Contact-based social contagion in multiplex networks,2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",153,10.1103/PhysRevE.88.050801,Spain,Article,Zaragoza,0,Journal,2-s2.0-84888144461
Hernández D.G.,,Epidemic thresholds for bipartite networks,2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",7,10.1103/PhysRevE.88.052801,Argentina;Argentina,Article,Rio Negro;Buenos Aires,0,Journal,2-s2.0-84888242000
Nicolaides C.,,The price of anarchy in mobility-driven contagion dynamics,2013,Journal of the Royal Society Interface,12,10.1098/rsif.2013.0495,United States,Article,Cambridge,1,Journal,2-s2.0-84883241843
Guo D.,,Epidemic threshold and topological structure of susceptible-infectious- susceptible epidemics in adaptive networks,2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",46,10.1103/PhysRevE.88.042802,China;Netherlands,Article,Beijing;Delft,0,Journal,2-s2.0-84885978043
