Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Ghani A.,,The early transmission dynamics of H1N1pdm influenza in the United Kingdom,2010,PLoS Currents,79,10.1371/currents.RRN1130,United Kingdom,Article,London,1,Journal,2-s2.0-84873363663
House T.,,The impact of contact tracing in clustered populations,2010,PLoS Computational Biology,45,10.1371/journal.pcbi.1000721,United Kingdom,Article,Coventry,1,Journal,2-s2.0-77949542098
Bansal S.,,Exploring biological network structure with clustered random networks,2009,BMC Bioinformatics,65,10.1186/1471-2105-10-405,United States;United States,Article,Bethesda;University Park,1,Journal,2-s2.0-74049124545
Dangerfield C.,,Integrating stochasticity and network structure into an epidemic model,2009,Journal of the Royal Society Interface,47,10.1098/rsif.2008.0410,United Kingdom,Article,Coventry,1,Journal,2-s2.0-68149175051
Vernon M.,,Representing the UK's cattle herd as static and dynamic networks,2009,Proceedings of the Royal Society B: Biological Sciences,97,10.1098/rspb.2008.1009,United Kingdom,Article,Coventry,1,Journal,2-s2.0-58149124231
Volz E.,,SIR dynamics in random networks with heterogeneous connectivity,2008,Journal of Mathematical Biology,183,10.1007/s00285-007-0116-4,United States,Article,Austin,0,Journal,2-s2.0-36749049140
Mossong J.,,Social contacts and mixing patterns relevant to the spread of infectious diseases,2008,PLoS Medicine,1028,10.1371/journal.pmed.0050074,Luxembourg;Luxembourg,Article,Luxembourg;Luxembourg,1,Journal,2-s2.0-41549103774
Volz E.,,Susceptible-infected-recovered epidemics in dynamic contact networks,2007,Proceedings of the Royal Society B: Biological Sciences,162,10.1098/rspb.2007.1159,United States,Article,Austin,0,Journal,2-s2.0-36549089548
Bansal S.,,When individual behaviour matters: Homogeneous and network models in epidemiology,2007,Journal of the Royal Society Interface,318,10.1098/rsif.2007.1100,United States,Article,Austin,0,Journal,2-s2.0-34948820617
Eames K.,,Contact tracing strategies in heterogeneous populations,2007,Epidemiology and Infection,16,10.1017/S0950268806006923,United Kingdom,Article,Coventry,0,Journal,2-s2.0-33947356152
Lysons R.,,Progress with enhancing veterinary surveillance in the United Kingdom,2007,Veterinary Record,18,10.1136/vr.160.4.105,United Kingdom,Article,London,0,Journal,2-s2.0-33846892275
Kiss I.,,The effect of contact heterogeneity and multiple routes of transmission on final epidemic size,2006,Mathematical Biosciences,69,10.1016/j.mbs.2006.03.002,United Kingdom,Article,Oxford,0,Journal,2-s2.0-33748186988
Serrano M.A.,,Percolation and epidemic thresholds in clustered networks,2006,Physical Review Letters,136,10.1103/PhysRevLett.97.088701,United States,Article,Bloomington,0,Journal,2-s2.0-33747656394
Kao R.,,Demographic structure and pathogen dynamics on the network of livestock movements in Great Britain,2006,Proceedings of the Royal Society B: Biological Sciences,160,10.1098/rspb.2006.3505,United Kingdom,Article,Oxford,0,Journal,2-s2.0-33747053644
Schneeberger A.,,Scale-free networks and sexually transmitted diseases: A description of observed patterns of sexual contacts in Britain and Zimbabwe,2004,Sexually Transmitted Diseases,152,10.1097/00007435-200406000-00012,United Kingdom,Article,London,0,Journal,2-s2.0-2542440526
Eubank S.,,Modelling disease outbreaks in realistic urban social networks,2004,Nature,1155,10.1038/nature02541,United States,Article,Los Alamos,0,Journal,2-s2.0-2442686815
Newman M.E.J.,,Mixing patterns in networks,2003,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",1528,,United States;United States,Article,Santa Fe;Ann Arbor,0,Journal,2-s2.0-0038752085
Eames K.,,Modeling dynamic and network heterogeneities in the spread of sexually transmitted diseases,2002,Proceedings of the National Academy of Sciences of the United States of America,305,10.1073/pnas.202244299,,Article,,1,Journal,2-s2.0-0036790984
Moreno Y.,,Epidemic outbreaks in complex heterogeneous networks,2002,European Physical Journal B,712,10.1007/s10051-002-8996-y,Italy,Article,Trieste,0,Journal,2-s2.0-0000494582
Jolly A.M.,,Gonorrhoea and chlamydia core groups and sexual networks in Manitoba,2002,Sexually Transmitted Infections,41,10.1136/sti.78.suppl_1.i145,Canada;Canada,Conference Paper,Ottawa;Ottawa,1,Journal,2-s2.0-0036107883
Barabási A.,,Emergence of scaling in random networks,1999,Science,22122,10.1126/science.286.5439.509,United States,Article,Notre Dame,0,Journal,2-s2.0-0038483826
Keeling M.,,The effects of local spatial structure on epidemiological invasions,1999,Proceedings of the Royal Society B: Biological Sciences,543,10.1098/rspb.1999.0716,United Kingdom,Article,Cambridge,0,Journal,2-s2.0-0033594451
Rothenberg R.,,Using social network and ethnographic tools to evaluate syphilis transmission,1998,Sexually Transmitted Diseases,151,10.1097/00007435-199803000-00009,United States,Article,Atlanta,0,Journal,2-s2.0-0031929724
Ghani A.C.,,Measuring sexual partner networks for transmission of sexually transmitted diseases,1998,Journal of the Royal Statistical Society. Series A: Statistics in Society,33,10.1111/1467-985X.00101,United Kingdom;United Kingdom,Article,London;Oxford,0,Journal,2-s2.0-0040757679
Klovdahl A.,,Social networks and the spread of infectious diseases: The AIDS example,1985,Social Science and Medicine,317,10.1016/0277-9536(85)90269-2,Australia,Article,Canberra,0,Journal,2-s2.0-0022357743
